Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR11647648_1_val_1	(1.0, 80.71107593120487)	(2.0, 11.423462256664587)	(3.0, 1.735084383453092)	(4.0, 0.5227931881551001)	(5.0, 0.30791886449333)	(6.0, 0.23296938180064788)	(7.0, 0.17600010937057686)	(8.0, 0.14901976679401593)	(9.0, 0.14403811914617204)	('>10', 2.2722574386400614)	('>50', 0.7917802712229879)	('>100', 1.3388369298768665)	('>500', 0.16351440445632992)	('>1k', 0.02328911724221283)	('>5k', 0.00795983747943941)	('>10k+', 0.0)
SRR11647648_2_val_2	(1.0, 80.91104583415948)	(2.0, 11.019728485503562)	(3.0, 1.7698543502336346)	(4.0, 0.4380319630366557)	(5.0, 0.3043676478676696)	(6.0, 0.21957287788411145)	(7.0, 0.19065436047050863)	(8.0, 0.1627265208297914)	(9.0, 0.13279439131164897)	('>10', 2.3650876746254523)	('>50', 0.8578709099422553)	('>100', 1.2189535703758378)	('>500', 0.1745927501072467)	('>1k', 0.03812621721618867)	('>5k', 0.016459151497152488)	('>10k+', 0.18013329493886154)
SRR11647649_1_val_1	(1.0, 68.56832276904619)	(2.0, 20.012998033447527)	(3.0, 4.47768413970671)	(4.0, 1.0861003174258799)	(5.0, 0.41071542124996374)	(6.0, 0.2818428909272256)	(7.0, 0.21390972820448578)	(8.0, 0.1669521503139258)	(9.0, 0.15997580686455865)	('>10', 2.12893717417761)	('>50', 0.8028467589004258)	('>100', 1.3352867122237764)	('>500', 0.24927351390045227)	('>1k', 0.0764900883767611)	('>5k', 0.00198943892997272)	('>10k+', 0.02667505630459378)
SRR11647649_2_val_2	(1.0, 69.03059940256065)	(2.0, 19.599788335434173)	(3.0, 4.232005747559479)	(4.0, 1.0252335475855388)	(5.0, 0.40595969822681854)	(6.0, 0.2783245593402873)	(7.0, 0.2344628294042749)	(8.0, 0.1855999664167525)	(9.0, 0.15768153648726105)	('>10', 2.2439755680756828)	('>50', 0.7619795106551754)	('>100', 1.2964646491451832)	('>500', 0.23571961458681134)	('>1k', 0.08794075373172124)	('>5k', 0.008813167186942385)	('>10k+', 0.21545111360299266)
SRR11647658_1_val_1	(1.0, 80.21056850521495)	(2.0, 11.982365433717824)	(3.0, 1.814643783043958)	(4.0, 0.534675315530545)	(5.0, 0.2768706561971752)	(6.0, 0.20693231299656512)	(7.0, 0.18496540083395413)	(8.0, 0.19599077984271707)	(9.0, 0.15601450056524455)	('>10', 2.220020245302589)	('>50', 0.793147109332918)	('>100', 1.2130775666011995)	('>500', 0.15093668222287326)	('>1k', 0.03019452793711938)	('>5k', 0.002092561335955134)	('>10k+', 0.027504619324344105)
SRR11647658_2_val_2	(1.0, 80.23436886531006)	(2.0, 11.839238826665705)	(3.0, 1.676172581002085)	(4.0, 0.49564218189895465)	(5.0, 0.28027156668804953)	(6.0, 0.23641874865730725)	(7.0, 0.16761145426845114)	(8.0, 0.19058495813499504)	(9.0, 0.14270925199185414)	('>10', 2.3753932259781667)	('>50', 0.8023362624043928)	('>100', 1.1166466533604746)	('>500', 0.14180290236136572)	('>1k', 0.045350704167809626)	('>5k', 0.01991858488265606)	('>10k+', 0.2355332322277056)
SRR11647659_1_val_1	(1.0, 74.47275237211032)	(2.0, 16.70544777900825)	(3.0, 3.052765883205939)	(4.0, 0.7125777358192881)	(5.0, 0.3118586139575431)	(6.0, 0.23692556493362674)	(7.0, 0.18696728047313438)	(8.0, 0.14699472908729688)	(9.0, 0.11501187611084067)	('>10', 2.0564667497551548)	('>50', 0.7041532536321456)	('>100', 1.052131489922257)	('>500', 0.17707049559287935)	('>1k', 0.0411423114568702)	('>5k', 0.0019455944448799598)	('>10k+', 0.025788270489646957)
SRR11647659_2_val_2	(1.0, 75.04316672971832)	(2.0, 16.05457044309749)	(3.0, 2.8802520726013987)	(4.0, 0.6772727080689592)	(5.0, 0.3242183947842414)	(6.0, 0.25043123671901585)	(7.0, 0.1826107541845658)	(8.0, 0.1387236609727299)	(9.0, 0.14173743320969595)	('>10', 2.1094727288925847)	('>50', 0.7200544995535668)	('>100', 0.999988522441689)	('>500', 0.20303938293269957)	('>1k', 0.04312001784227829)	('>5k', 0.015198965127552401)	('>10k+', 0.21614244985340092)
