Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
SRR11647648_1_val_1	12.573376887676574	21.0	123.42822430057012	125	10.0	378.99728899999997
SRR11647648_2_val_2	12.578203761805142	21.0	123.09509088203531	122	10.0	378.99728899999997
SRR11647649_1_val_1	19.33126659872066	21.0	123.3071063508996	125	10.0	369.755932
SRR11647649_2_val_2	19.16474629905295	21.0	122.97128593734097	122	10.0	369.755932
SRR11647658_1_val_1	12.770164827860356	21.0	123.3278562072762	125	10.0	357.44253699999996
SRR11647658_2_val_2	12.865117931806665	21.0	123.04926098233238	122	10.0	357.44253699999996
SRR11647659_1_val_1	15.695905188696003	21.0	123.40232115163396	125	10.0	359.5448
SRR11647659_2_val_2	15.508412073313835	21.0	123.01182892507416	122	10.0	359.5448
