Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66
SRR11647648_1_val_1	(1, 0.07036224472835213)	(2, 0.0016965820565539719)	(3, 0.0011831219193760513)	(4, 0.0)	(5, 9.657061161722452e-05)	(6, 0.0015467129106562026)	(7, 2.6385413010170634e-07)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 1.1741508789525932e-05)	(16, 1.451197715559385e-06)	(18, 0.0)	(20, 7.915624446079443e-07)	(22, 6.477621184254008e-05)	(24, 0.00014986928489362793)	(26, 3.957818911697557e-05)	(28, 0.0001480226053948754)	(30, 2.044879557405424e-05)	(32, 2.2031987604270787e-05)	(34, 9.89464263677503e-06)	(36, 6.332606109161158e-06)	(38, 3.1663282646737276e-06)	(40, 1.3193188303578383e-07)	(42, 5.541227312373255e-06)	(44, 0.0)	(46, 0.0)	(48, 1.3590337541287115e-05)	(50, 2.797357856974442e-05)	(52, 0.007230638754350447)	(54, 2.3490056496106435e-05)	(56, 5.991753438881431e-05)	(58, 0.0002561905959622981)	(60, 9.108212390397118e-05)	(62, 0.000912916512349891)	(64, 0.00030448225381366303)	(66, 0.00024748245893457794)	(68, 7.660970371079533e-06)	(70, 3.091443471053705e-05)	(72, 0.0)	(74, 0.0)	(76, 0.005794990462050702)	(78, 0.010363773268926872)	(80, 9.683968003772833e-05)	(82, 2.646831617557161e-07)	(84, 4.104168417585453e-06)	(86, 0.0005291264256748639)	(88, 0.003223489341971154)	(90, 0.020386032815905137)	(92, 0.014590641464625154)	(94, 0.00238533872876941)	(96, 0.0008684559251626512)	(98, 0.00014112059939993927)	(100, 0.0004159718288132303)	(102, 3.327460427790877e-06)	(104, 7.287753188170189e-05)	(106, 8.803405990826353e-06)	(108, 2.3374094419296448e-05)	(110, 6.876495874483092e-05)	(112, 0.0002163563812982879)	(114, 0.009013240481984923)	(116, 0.013199302280285336)	(118, 0.00020996358256889386)	(120, 0.0)	(122, 2.843553692782709e-07)	(124, 0.0)
SRR11647648_2_val_2	(1, 0.0035934293978551386)	(2, 0.522915086075985)	(3, 0.008094517003260148)	(4, 0.011261558126870928)	(5, 0.0066931877182899845)	(6, 3.113478735200135e-05)	(7, 0.0)	(8, 4.195280668617131e-05)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 5.40900966708498e-06)	(16, 0.0)	(18, 0.0)	(20, 0.0013406428456587947)	(22, 1.3192707270894382e-07)	(24, 0.0)	(26, 4.089740128044118e-06)	(28, 0.0008829883496224258)	(30, 0.013794704880836062)	(32, 0.004458483792209558)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.006614534594699323)	(42, 0.05226396632919682)	(44, 0.09292121512516965)	(46, 0.03381674936055781)	(48, 0.034007232153073094)	(50, 0.001754026591747697)	(52, 0.003565059514465442)	(54, 0.0035289502196087334)	(56, 0.0003932446626617434)	(58, 0.0011007752495743605)	(60, 0.00013198430799494894)	(62, 0.0008213018432285076)	(64, 0.001836897961841707)	(66, 0.0012832913728259743)	(68, 0.0004681684894627416)	(70, 0.0)	(72, 0.00017294823942860726)	(74, 3.647509695530102e-05)	(76, 3.437024275356111e-06)	(78, 0.002287518312956686)	(80, 0.0005104630426000577)	(82, 0.0005806507495863744)	(84, 7.0160889722262584e-06)	(86, 8.60827624682101e-05)	(88, 0.0)	(90, 4.043076849618347e-05)	(92, 5.5438743161675794e-05)	(94, 3.582947563009049e-06)	(96, 6.931111920283757e-05)	(98, 7.001956807771752e-05)	(100, 0.0012402166626068229)	(102, 0.0010069786293468075)	(104, 0.0008036836843670521)	(106, 0.00015969148841447515)	(108, 0.0012964491214053715)	(110, 0.0016775666652050875)	(112, 4.3632907403926315e-05)	(114, 5.404852298825041e-05)	(116, 2.7299303064795797e-05)	(118, 2.551788872452338e-05)	(120, 2.3105718636276455e-06)	(122, 0.00017113727364930447)	(124, 3.8655651159034134e-07)
SRR11647649_1_val_1	(1, 0.1925594529745097)	(2, 0.0017725205825771578)	(3, 0.0008932919567061874)	(4, 2.2447239602365594e-05)	(5, 0.00035969673097766556)	(6, 0.001169149600012367)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 7.707787092378547e-06)	(16, 9.465703446780673e-07)	(18, 0.0)	(20, 4.0567302790191235e-07)	(22, 3.3265199893479964e-05)	(24, 7.12633082622389e-05)	(26, 9.560382523426565e-05)	(28, 0.00017971384274352087)	(30, 3.16426942448956e-05)	(32, 5.828226124815357e-05)	(34, 1.284650240442644e-05)	(36, 3.786365476150016e-06)	(38, 1.2170595513175006e-06)	(40, 0.0)	(42, 3.380845747016814e-06)	(44, 8.790442544010872e-06)	(46, 3.110576787951491e-06)	(48, 0.00011550235496047396)	(50, 2.353458762360807e-05)	(52, 0.0010656208623665195)	(54, 2.2320626272943627e-05)	(56, 4.072226040073183e-05)	(58, 0.00013435854777552901)	(60, 6.387305336737458e-05)	(62, 0.0006420823564552415)	(64, 6.931040400050338e-05)	(66, 5.28063350639057e-06)	(68, 0.00010509613843294775)	(70, 9.266085345707159e-05)	(72, 0.0001865944920436183)	(74, 1.3961671140790365e-05)	(76, 0.004871537368405575)	(78, 0.007966407062625575)	(80, 2.3882773587861025e-05)	(82, 0.00017240863090910304)	(84, 0.00013500177692353917)	(86, 0.0005071138052327683)	(88, 0.0025733451635426927)	(90, 0.015213628314892922)	(92, 0.010739181929361588)	(94, 0.0017501005313507612)	(96, 0.0006293240916951891)	(98, 0.00016724959106110797)	(100, 0.00030599911970566497)	(102, 1.10719205069132e-05)	(104, 7.431360525903178e-05)	(106, 1.959834338245928e-05)	(108, 8.319186780437706e-05)	(110, 5.598291696281848e-05)	(112, 0.00028030163687938533)	(114, 0.00810969448065398)	(116, 0.010852354476184592)	(118, 0.00015055345124597702)	(120, 0.0)	(122, 0.00019636950241346793)	(124, 1.9706840683272507e-07)
SRR11647649_2_val_2	(1, 0.0032578246777119997)	(2, 0.3883110115999437)	(3, 0.009838652162583832)	(4, 0.010878797747050072)	(5, 0.006887245827877617)	(6, 1.3251984825492943e-05)	(7, 0.0)	(8, 4.597627388436326e-05)	(9, 7.680742225387745e-05)	(10, 0.0)	(12, 0.0)	(14, 4.327178718528308e-06)	(16, 0.0)	(18, 5.0033003932983556e-06)	(20, 0.0011219563207678395)	(22, 1.5145126682203197e-05)	(24, 0.0)	(26, 1.4874682999883554e-06)	(28, 0.0011296651497650868)	(30, 0.006854939215885636)	(32, 0.003561009145367622)	(34, 9.46575782121492e-07)	(36, 1.3522565811447496e-05)	(38, 0.00011359026430610013)	(40, 0.0013672875627085122)	(42, 0.02636379743177537)	(44, 0.04765827696499764)	(46, 0.015712696947099716)	(48, 0.008457332751535125)	(50, 0.0011436315478823083)	(52, 0.0017885746879554934)	(54, 0.0014541928193346361)	(56, 0.00015962139622875188)	(58, 0.0007711313707885721)	(60, 0.00012380235613310763)	(62, 0.0006158548606419304)	(64, 0.001924898560031733)	(66, 0.0017228992443269423)	(68, 0.0005658553827840242)	(70, 3.101547736518498e-05)	(72, 0.00012992134185341327)	(74, 2.6019205409731053e-05)	(76, 0.00010899141397904301)	(78, 0.001820705984915927)	(80, 0.00035788138091632105)	(82, 0.0005578171921090854)	(84, 0.00032207971073092416)	(86, 7.227254062012258e-05)	(88, 5.85826138293046e-05)	(90, 0.00019135206314618082)	(92, 4.65404672996593e-05)	(94, 7.121862025887433e-05)	(96, 0.00011610207320896624)	(98, 5.045854853762228e-05)	(100, 0.0012965087150895443)	(102, 0.0007467446431649369)	(104, 0.0005883327365763065)	(106, 0.00024125012528884382)	(108, 0.0010045892301409477)	(110, 0.0013186829353009793)	(112, 0.00019471066751632987)	(114, 0.0001027682969272457)	(116, 7.08521642621797e-05)	(118, 0.0001548655879648252)	(120, 0.0001399503555602689)	(122, 0.00021669601731132916)	(124, 1.3268087899747487e-05)
SRR11647658_1_val_1	(1, 0.05798974059989956)	(2, 0.0020694235392582833)	(3, 0.001127453949332281)	(4, 1.7904975870289328e-05)	(5, 0.0002775271259894846)	(6, 0.0014500232802454622)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 1.1470375166904101e-05)	(16, 1.2589436158797183e-06)	(18, 0.0)	(20, 1.3988263279185275e-07)	(22, 3.245278233824465e-05)	(24, 7.469740939732297e-05)	(26, 8.672742692278815e-05)	(28, 0.0001896815765436271)	(30, 3.0214837101790533e-05)	(32, 4.798019903347596e-05)	(34, 1.552718954691023e-05)	(36, 5.595419930565455e-06)	(38, 3.217396308524262e-06)	(40, 0.0)	(42, 5.175965986685093e-06)	(44, 6.714917292426662e-06)	(46, 4.476742349801321e-06)	(48, 3.441623205377821e-05)	(50, 2.9241149675317113e-05)	(52, 0.001203011871603223)	(54, 2.714584459302855e-05)	(56, 5.4436052557082356e-05)	(58, 0.00017829848698633002)	(60, 8.56601059372247e-05)	(62, 0.0008179389880508675)	(64, 8.414475148582691e-05)	(66, 6.161441513604487e-06)	(68, 6.554839866018401e-05)	(70, 5.701735867427765e-05)	(72, 0.00011798587693919458)	(74, 1.1913910269409266e-05)	(76, 0.005963333138158827)	(78, 0.010019879396965586)	(80, 2.5674785555773078e-05)	(82, 0.0002101090294912627)	(84, 0.0001625975515454107)	(86, 0.0006301759751660657)	(88, 0.003232839660315044)	(90, 0.019046007824041852)	(92, 0.013395699818550641)	(94, 0.0022461733229529545)	(96, 0.0008026435022183365)	(98, 0.0002110755262495682)	(100, 0.00041419740800314293)	(102, 1.5539150936696133e-05)	(104, 0.00010055589320194204)	(106, 2.3225736328528256e-05)	(108, 9.432810655668315e-05)	(110, 6.494807032980103e-05)	(112, 0.00032335986063195704)	(114, 0.00968516246754668)	(116, 0.013480357790131308)	(118, 0.00019798341996219088)	(120, 0.0)	(122, 0.0002112387879884276)	(124, 0.0)
SRR11647658_2_val_2	(1, 0.0035840725917855717)	(2, 0.49968619151782706)	(3, 0.010145686717750662)	(4, 0.011979547918215453)	(5, 0.007363421326656486)	(6, 2.1541924093941846e-05)	(7, 0.0)	(8, 5.3714927610867975e-05)	(9, 5.007797938721546e-05)	(10, 0.0)	(12, 0.0)	(14, 5.1756570875055086e-06)	(16, 0.0)	(18, 3.7768308476391547e-06)	(20, 0.0013498673328004105)	(22, 1.0910845220403116e-05)	(24, 0.0)	(26, 2.9375360693584386e-06)	(28, 0.0011737558991095662)	(30, 0.007709361936889725)	(32, 0.004088359648064568)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0011943413399852375)	(42, 0.029846249805492633)	(44, 0.05402603364694378)	(46, 0.01781111418673256)	(48, 0.009625056916462281)	(50, 0.0012970094416397578)	(52, 0.00201380034403276)	(54, 0.0015958465925178826)	(56, 0.00018077943225721177)	(58, 0.0009742180893010729)	(60, 0.00013071143840011305)	(62, 0.0007983612454131984)	(64, 0.0018196725882807878)	(66, 0.001264564984583963)	(68, 0.0004635220997863683)	(70, 0.0)	(72, 0.0001655992364513419)	(74, 3.111061158493086e-05)	(76, 5.747312640365933e-06)	(78, 0.0021992631371943743)	(80, 0.00048716711688899137)	(82, 0.0005475535280302334)	(84, 7.1596001184203475e-06)	(86, 8.18807388303275e-05)	(88, 0.0)	(90, 3.7958823056042915e-05)	(92, 5.936124523372632e-05)	(94, 2.2520066586263178e-06)	(96, 6.816682564137512e-05)	(98, 6.920088812899017e-05)	(100, 0.0011970532146515697)	(102, 0.000937046329488948)	(104, 0.0007750104209935875)	(106, 0.00015163119206836243)	(108, 0.0012454276490376386)	(110, 0.001629366612280268)	(112, 0.00013554612890798317)	(114, 8.159277166987215e-05)	(116, 5.0270427910365505e-05)	(118, 2.5815663641006348e-05)	(120, 2.12313914418598e-05)	(122, 0.00020377332816196684)	(124, 1.442849374232207e-06)
SRR11647659_1_val_1	(1, 0.056327055766068654)	(2, 0.0020976523648791475)	(3, 0.0010212913661941433)	(4, 1.8078414706595672e-05)	(5, 0.00036073390576083983)	(6, 0.0014078913114582662)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 1.0012660452883757e-05)	(16, 2.085970927684116e-06)	(18, 0.0)	(20, 1.3906473624787432e-07)	(22, 3.6156842285233474e-05)	(24, 7.342625374754632e-05)	(26, 9.873616526409279e-05)	(28, 0.0001933006750405845)	(30, 3.5044521289940933e-05)	(32, 5.993745186186481e-05)	(34, 1.4045727144130485e-05)	(36, 5.840833109066202e-06)	(38, 3.893923017464584e-06)	(40, 5.56281639074504e-07)	(42, 6.397347550672437e-06)	(44, 1.029161136154063e-05)	(46, 4.311472188840301e-06)	(48, 4.770605251750973e-05)	(50, 2.865269843352582e-05)	(52, 0.0011968008212090032)	(54, 2.823876695410184e-05)	(56, 4.6882824701707264e-05)	(58, 0.00016069635689031919)	(60, 7.430413954163787e-05)	(62, 0.0007944892223570803)	(64, 7.724789043736005e-05)	(66, 5.289943759420006e-06)	(68, 9.927501669156942e-05)	(70, 8.453397645705638e-05)	(72, 0.00017565448946352773)	(74, 1.2958028622039167e-05)	(76, 0.006007517633964602)	(78, 0.009757646235675536)	(80, 2.886843954931535e-05)	(82, 0.00020145428593414352)	(84, 0.000164129771911745)	(86, 0.0006059731135621693)	(88, 0.00309371144332726)	(90, 0.018328393261389554)	(92, 0.012947445029683478)	(94, 0.0021289385385699646)	(96, 0.0007616208917180323)	(98, 0.00020343120777213133)	(100, 0.00038068889869737304)	(102, 1.4595933550738172e-05)	(104, 8.865208071406944e-05)	(106, 2.4054196078741504e-05)	(108, 9.029915514208673e-05)	(110, 6.533748361168687e-05)	(112, 0.0003265313090543592)	(114, 0.00989270067580482)	(116, 0.013464068672075908)	(118, 0.00017727276174785053)	(120, 0.0)	(122, 0.0002263564326237634)	(124, 0.0)
SRR11647659_2_val_2	(1, 0.003638767686252172)	(2, 0.48597587838845113)	(3, 0.010931878308349892)	(4, 0.012311678544648678)	(5, 0.007755361779672519)	(6, 2.4753521675184843e-05)	(7, 0.0)	(8, 4.811639606524694e-05)	(9, 8.20481898222419e-05)	(10, 0.0)	(12, 0.0)	(14, 5.2844596834664275e-06)	(16, 0.0)	(18, 3.6156829413191347e-06)	(20, 0.0013697875796556858)	(22, 1.6131508933655373e-05)	(24, 0.0)	(26, 3.6156837407935185e-06)	(28, 0.0012792571794255456)	(30, 0.00788998569739839)	(32, 0.004137602194570965)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0011712256253286189)	(42, 0.0300740517043892)	(44, 0.05431020856817032)	(46, 0.01783269823268566)	(48, 0.009681435165757401)	(50, 0.0012870628320333338)	(52, 0.0020080120836567517)	(54, 0.0016236634494326465)	(56, 0.00017875019540978317)	(58, 0.0009277724617239604)	(60, 0.00011394913291506451)	(62, 0.0007604544833329473)	(64, 0.0017182111884518304)	(66, 0.0012128193240322196)	(68, 0.00044914143482160295)	(70, 0.0)	(72, 0.00015405761887552502)	(74, 2.9816969369515028e-05)	(76, 4.738729778270332e-06)	(78, 0.0021557398545050434)	(80, 0.0004782555960615466)	(82, 0.0005404015282142208)	(84, 4.746120136824837e-06)	(86, 8.798470271702808e-05)	(88, 0.0)	(90, 3.7747857465163926e-05)	(92, 5.133935932164249e-05)	(94, 2.239638008204589e-06)	(96, 6.107127832697922e-05)	(98, 6.405965145031506e-05)	(100, 0.0011558209580223532)	(102, 0.0009231986299805344)	(104, 0.0007401319119425569)	(106, 0.00014731998916000665)	(108, 0.0012013719332158313)	(110, 0.0015713924837486605)	(112, 0.00012412336968919553)	(114, 8.119339807893275e-05)	(116, 5.159465160290078e-05)	(118, 2.9695116159313853e-05)	(120, 2.2003522073577406e-05)	(122, 0.00019682687334169336)	(124, 1.4402055826808333e-06)
