Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66
SRR11647648_1_val_1	(1, 32.887966079884016)	(2, 33.06535091072907)	(3, 33.081275372922256)	(4, 33.068502236700695)	(5, 33.080784622710055)	(6, 36.76780829690843)	(7, 36.81734367762193)	(8, 36.94345627100251)	(9, 36.91948122351872)	(10, 37.02204641099689)	(12, 37.03802271261101)	(14, 36.85312368817498)	(16, 36.88111750582997)	(18, 36.85034430153932)	(20, 36.79696335527624)	(22, 36.779870925640196)	(24, 36.669279742087454)	(26, 36.62882783980719)	(28, 36.64771549365068)	(30, 36.544583238698834)	(32, 36.54669861017523)	(34, 36.580209814188734)	(36, 36.5651957679148)	(38, 36.513214406739806)	(40, 36.458337637830965)	(42, 36.41349250950879)	(44, 36.36027942374376)	(46, 36.303336827618594)	(48, 36.237894525847125)	(50, 36.186554191090096)	(52, 36.12481406989917)	(54, 36.059562580918346)	(56, 35.999401954999406)	(58, 35.931170811180564)	(60, 35.88159838528804)	(62, 35.82745861718978)	(64, 35.777568593687405)	(66, 35.69554157218827)	(68, 35.64006680039079)	(70, 35.57925890438945)	(72, 35.496521666323645)	(74, 35.4212434418839)	(76, 35.32067286864493)	(78, 35.25446928671114)	(80, 35.202624067077025)	(82, 35.12854953003637)	(84, 35.04622713295096)	(86, 34.96277065868729)	(88, 34.85390278818977)	(90, 34.74766042389359)	(92, 34.65649276194817)	(94, 34.58711207197388)	(96, 34.5043647709542)	(98, 34.414206025796844)	(100, 34.317509445710186)	(102, 34.218027889249406)	(104, 34.13602703315174)	(106, 34.040577455520506)	(108, 33.92825328618403)	(110, 33.80066829715701)	(112, 33.73109037047423)	(114, 33.6493633452744)	(116, 33.58422934458001)	(118, 33.54708925728208)	(120, 33.550209403067115)	(122, 33.6662502250284)	(124, 34.75654599479513)
SRR11647648_2_val_2	(1, 30.361723397446255)	(2, 30.623785356417155)	(3, 30.975532774853175)	(4, 30.82665485504304)	(5, 30.96849876147795)	(6, 34.7777890701482)	(7, 34.74126833661863)	(8, 34.725942965782004)	(9, 34.751425475236054)	(10, 34.80033523406021)	(12, 34.84107637640648)	(14, 34.90207411615549)	(16, 34.94784681823938)	(18, 34.9547605669021)	(20, 35.04668689504346)	(22, 35.093555340825304)	(24, 35.13369715968965)	(26, 35.12457301033071)	(28, 35.147821112638894)	(30, 35.184449821624725)	(32, 35.205342146039825)	(34, 35.229370719257496)	(36, 35.23809590708495)	(38, 35.244334920286974)	(40, 35.24787430961345)	(42, 35.237887126487564)	(44, 35.2515164649448)	(46, 35.27008490265257)	(48, 35.27401092116705)	(50, 35.298152791546514)	(52, 35.311790092949465)	(54, 35.303700923645465)	(56, 35.30423472849269)	(58, 35.31151081194966)	(60, 35.30050283861898)	(62, 35.281362556287974)	(64, 35.2800937128296)	(66, 35.24361283996183)	(68, 35.21142601052459)	(70, 35.184039253447764)	(72, 35.2020512726209)	(74, 35.17481363573606)	(76, 35.14812261601986)	(78, 35.103993424694465)	(80, 35.06493418931125)	(82, 35.03528994623291)	(84, 35.005635749831086)	(86, 34.979924822265275)	(88, 34.942696580756724)	(90, 34.89502576892468)	(92, 34.84210637721651)	(94, 34.80587576519628)	(96, 34.775974969194294)	(98, 34.753637896893416)	(100, 34.69306868662147)	(102, 34.65434451763343)	(104, 34.62362893450495)	(106, 34.58242462204937)	(108, 34.55758692749549)	(110, 34.45609252022737)	(112, 34.38691905238511)	(114, 34.362160086486156)	(116, 34.33288102228528)	(118, 34.27321570765464)	(120, 34.26666677436202)	(122, 34.32979134196363)	(124, 35.18472935029648)
SRR11647649_1_val_1	(1, 32.906208347186165)	(2, 33.10397860500045)	(3, 33.13592838045395)	(4, 33.12991611720782)	(5, 33.13345407532231)	(6, 36.84652778471178)	(7, 36.94901639062818)	(8, 37.05658866887361)	(9, 37.05433267261281)	(10, 37.11828041882504)	(12, 37.11573155640407)	(14, 36.98665565424925)	(16, 37.00700992540128)	(18, 36.97718362636032)	(20, 36.93165509848012)	(22, 36.90852143678834)	(24, 36.82679302864388)	(26, 36.76161606673357)	(28, 36.76970150265302)	(30, 36.624052647939514)	(32, 36.656790344079745)	(34, 36.680447016401075)	(36, 36.64452623273774)	(38, 36.58250881355133)	(40, 36.51778558486346)	(42, 36.458271022197074)	(44, 36.390957896135745)	(46, 36.33260009315674)	(48, 36.256378454732335)	(50, 36.208273493672706)	(52, 36.14661043354196)	(54, 36.09532185130252)	(56, 36.02969067253956)	(58, 35.96075070980976)	(60, 35.900348837540434)	(62, 35.84134062733846)	(64, 35.76585189768023)	(66, 35.69127549188673)	(68, 35.637459271375704)	(70, 35.5667891987794)	(72, 35.48497009877167)	(74, 35.4143818749677)	(76, 35.32219081986261)	(78, 35.26018179249004)	(80, 35.211861669536404)	(82, 35.120261935453144)	(84, 35.040616332361026)	(86, 34.95611898017146)	(88, 34.86843282334313)	(90, 34.747741946666764)	(92, 34.63107872144114)	(94, 34.56415740327702)	(96, 34.46617817553262)	(98, 34.375070980036526)	(100, 34.280212586764264)	(102, 34.16900233258746)	(104, 34.07490036253329)	(106, 33.960725973165864)	(108, 33.80554550542584)	(110, 33.666967644253326)	(112, 33.60209348360738)	(114, 33.500076580301894)	(116, 33.418053484094145)	(118, 33.359792380539346)	(120, 33.38540525587999)	(122, 33.509985917092706)	(124, 34.64628686547893)
SRR11647649_2_val_2	(1, 30.77250837181971)	(2, 31.091731320756743)	(3, 31.32702430045125)	(4, 31.218454188315768)	(5, 31.32084666325245)	(6, 35.220974621172545)	(7, 35.14755239680644)	(8, 35.068142944627596)	(9, 35.06725791758224)	(10, 35.12617918054118)	(12, 35.16001991957224)	(14, 35.17750640035709)	(16, 35.1806179785643)	(18, 35.15711444353515)	(20, 35.218594442909335)	(22, 35.237161322215066)	(24, 35.266661900566945)	(26, 35.23705406568282)	(28, 35.24322758114721)	(30, 35.260076648338014)	(32, 35.2616583775003)	(34, 35.25500632189258)	(36, 35.262227205908765)	(38, 35.270413498215426)	(40, 35.26960575137804)	(42, 35.26428437166783)	(44, 35.27731712573251)	(46, 35.28212506718864)	(48, 35.29058496982152)	(50, 35.308622195813626)	(52, 35.3037521688848)	(54, 35.29293592781676)	(56, 35.29857535369371)	(58, 35.295797882057)	(60, 35.284519945129105)	(62, 35.25885140002683)	(64, 35.23662865538415)	(66, 35.19859103697753)	(68, 35.17600093698594)	(70, 35.147559882084145)	(72, 35.148855996125825)	(74, 35.131805310095295)	(76, 35.08855901273053)	(78, 35.062601362160834)	(80, 35.025416779391)	(82, 34.98516167393261)	(84, 34.92446120692632)	(86, 34.90495151567504)	(88, 34.87005500424547)	(90, 34.83357263679154)	(92, 34.794343784672634)	(94, 34.74358154586916)	(96, 34.67772638413186)	(98, 34.65646058543448)	(100, 34.60149421973806)	(102, 34.54154125573385)	(104, 34.49998573914515)	(106, 34.464799521186016)	(108, 34.39360246030667)	(110, 34.29904456129654)	(112, 34.1979085281282)	(114, 34.11550204690423)	(116, 34.061207195056)	(118, 34.083173154008485)	(120, 34.10994839653233)	(122, 34.16961188046376)	(124, 35.09946325106595)
SRR11647658_1_val_1	(1, 32.933137112889284)	(2, 33.086061494689986)	(3, 33.11581452881194)	(4, 33.11320310206952)	(5, 33.12261139193962)	(6, 36.7583008286448)	(7, 36.8144356277328)	(8, 36.93356235326855)	(9, 36.89721237626511)	(10, 37.00583648218679)	(12, 37.02537179703377)	(14, 36.83608601821221)	(16, 36.84896881900768)	(18, 36.8210255666913)	(20, 36.76612728679548)	(22, 36.75358593746466)	(24, 36.65684432803772)	(26, 36.604473989549405)	(28, 36.624562284740875)	(30, 36.52102985340664)	(32, 36.51281838531743)	(34, 36.55441579817327)	(36, 36.534455692472235)	(38, 36.4770163528622)	(40, 36.41717465919268)	(42, 36.36914595886341)	(44, 36.3115812416447)	(46, 36.25850425977035)	(48, 36.195298678384795)	(50, 36.14893791270568)	(52, 36.092474892255396)	(54, 36.0253896851378)	(56, 35.958790278753106)	(58, 35.890527771665106)	(60, 35.84251436002273)	(62, 35.78271985995714)	(64, 35.72525463576338)	(66, 35.641475391513225)	(68, 35.58474070121333)	(70, 35.515260820632534)	(72, 35.43033607799844)	(74, 35.34913523456099)	(76, 35.24799657746041)	(78, 35.18244661881252)	(80, 35.123547179520656)	(82, 35.04498910426793)	(84, 34.95558462902948)	(86, 34.85813218208524)	(88, 34.74875717466924)	(90, 34.62249731349065)	(92, 34.50653432751868)	(94, 34.42071305403854)	(96, 34.32987423300601)	(98, 34.2242572847134)	(100, 34.099057188608924)	(102, 33.984294881927006)	(104, 33.88960131007117)	(106, 33.76278193965507)	(108, 33.6168082656288)	(110, 33.46037306330368)	(112, 33.367283746248724)	(114, 33.248910739983174)	(116, 33.13211639768583)	(118, 33.07865696825867)	(120, 33.04459643136755)	(122, 33.12764785166335)	(124, 34.26195006282147)
SRR11647658_2_val_2	(1, 30.494602146358424)	(2, 30.74565538348336)	(3, 31.033212941301386)	(4, 30.885511541677538)	(5, 30.9285150944416)	(6, 34.76541697945704)	(7, 34.8057799035821)	(8, 34.80445381910435)	(9, 34.856451832983716)	(10, 34.93782418235242)	(12, 34.97851830376864)	(14, 35.02155896739285)	(16, 35.05623307362548)	(18, 35.05547387607088)	(20, 35.13655312498008)	(22, 35.16607350368312)	(24, 35.19435232422534)	(26, 35.175219958264435)	(28, 35.19818452818791)	(30, 35.2353746395071)	(32, 35.255777774755146)	(34, 35.27154179882365)	(36, 35.274160897096)	(38, 35.277110158932985)	(40, 35.26730056504384)	(42, 35.25485493110131)	(44, 35.257708351042524)	(46, 35.26273763525745)	(48, 35.265930632905516)	(50, 35.27425731037414)	(52, 35.27701488836874)	(54, 35.25958939123279)	(56, 35.261490928137974)	(58, 35.26846716982577)	(60, 35.254836310650546)	(62, 35.22724714627948)	(64, 35.214445838843034)	(66, 35.17946237893939)	(68, 35.147118948149284)	(70, 35.11537053704849)	(72, 35.13079266984607)	(74, 35.103299257255784)	(76, 35.0772295193442)	(78, 35.03425059120596)	(80, 34.99455934158155)	(82, 34.96502518172761)	(84, 34.9325010679137)	(86, 34.89906237177617)	(88, 34.85748267318466)	(90, 34.81616097970033)	(92, 34.7708377910462)	(94, 34.73242898554059)	(96, 34.68488265397475)	(98, 34.65100076532818)	(100, 34.59477192848857)	(102, 34.554871841457555)	(104, 34.53070598411954)	(106, 34.47689169035509)	(108, 34.43796284628)	(110, 34.35346283724119)	(112, 34.26487696668926)	(114, 34.240593348417406)	(116, 34.190044522211885)	(118, 34.141117685070355)	(120, 34.142711252416895)	(122, 34.21669909466078)	(124, 35.1308124890992)
SRR11647659_1_val_1	(1, 32.926469755646586)	(2, 33.083698089918144)	(3, 33.10810319604121)	(4, 33.10463700212046)	(5, 33.11243860292236)	(6, 36.745170729767196)	(7, 36.797999943261594)	(8, 36.92326574602108)	(9, 36.898075127216416)	(10, 37.00140582063765)	(12, 37.021944765993)	(14, 36.83787627856111)	(16, 36.85322892863421)	(18, 36.81736104096068)	(20, 36.753413098630524)	(22, 36.73564804386747)	(24, 36.630127574092455)	(26, 36.57587053616944)	(28, 36.600904587091954)	(30, 36.49676053660152)	(32, 36.49289582555147)	(34, 36.53737738326581)	(36, 36.52620756847459)	(38, 36.47345701199352)	(40, 36.41777981206138)	(42, 36.371382993026955)	(44, 36.31346575627185)	(46, 36.26437553145381)	(48, 36.205050024768305)	(50, 36.16239587102331)	(52, 36.108026881697114)	(54, 36.0429346487997)	(56, 35.980123097779746)	(58, 35.91670706285827)	(60, 35.87234382919385)	(62, 35.81567105655421)	(64, 35.76052217465546)	(66, 35.68294476635312)	(68, 35.631608935929606)	(70, 35.56798416645914)	(72, 35.4905681671585)	(74, 35.41660601213685)	(76, 35.324507229270296)	(78, 35.267175607151636)	(80, 35.21819463904762)	(82, 35.1456492488754)	(84, 35.06121945185602)	(86, 34.974934294721116)	(88, 34.87877255090538)	(90, 34.76875403362954)	(92, 34.66671155566395)	(94, 34.59380776900277)	(96, 34.5182946546534)	(98, 34.429181035031036)	(100, 34.32445479778972)	(102, 34.226399514017274)	(104, 34.14765067801035)	(106, 34.04454117048171)	(108, 33.91866272606191)	(110, 33.78744094854969)	(112, 33.71120983151849)	(114, 33.613582158505764)	(116, 33.52322859320881)	(118, 33.4906711349697)	(120, 33.47758476889032)	(122, 33.58061295458397)	(124, 34.6692410308265)
SRR11647659_2_val_2	(1, 30.539816142522433)	(2, 30.819944009759006)	(3, 31.14532002687843)	(4, 30.952322812066814)	(5, 31.019150587075657)	(6, 34.81860078910889)	(7, 34.71211417881722)	(8, 34.69609629453687)	(9, 34.72119182644277)	(10, 34.77827755539782)	(12, 34.85043341330483)	(14, 34.89499899178072)	(16, 34.90226041233248)	(18, 34.870951166586195)	(20, 34.95833585817617)	(22, 35.00630877305201)	(24, 35.057933219654316)	(26, 35.02653957157641)	(28, 35.03048284987093)	(30, 35.04459655092984)	(32, 35.06047157332679)	(34, 35.076855868749114)	(36, 35.080473082501996)	(38, 35.081495819372776)	(40, 35.0858574980179)	(42, 35.09131154097055)	(44, 35.11339127198772)	(46, 35.132395040317746)	(48, 35.148269456421275)	(50, 35.16953899930236)	(52, 35.18734423549316)	(54, 35.18108091776266)	(56, 35.19069279394584)	(58, 35.2022200624676)	(60, 35.190816391023986)	(62, 35.16678627790065)	(64, 35.15876083688599)	(66, 35.126694251638106)	(68, 35.09402744046957)	(70, 35.05884029134097)	(72, 35.077149470639014)	(74, 35.05206800044559)	(76, 35.029644898822085)	(78, 34.988513747632794)	(80, 34.9490423255517)	(82, 34.92002757531866)	(84, 34.890698840063465)	(86, 34.858410631112456)	(88, 34.81879716174895)	(90, 34.77977531956314)	(92, 34.7327575018067)	(94, 34.69505982839348)	(96, 34.65124208087868)	(98, 34.618948650944596)	(100, 34.566134738733254)	(102, 34.52500665781463)	(104, 34.49929968871622)	(106, 34.44501061746156)	(108, 34.40814230592153)	(110, 34.32346122853862)	(112, 34.23079252693003)	(114, 34.204167174156964)	(116, 34.15059516587985)	(118, 34.10561986900467)	(120, 34.114030002051365)	(122, 34.196077877167454)	(124, 35.12727639706295)
