Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
SRR11647648_1_val_1	(0.0, 0.05962292865075654)	(1.0, 0.06804581562889138)	(2.0, 0.09213306068736934)	(3.0, 0.12898167725609272)	(4.0, 0.17925175216388878)	(5.0, 0.2505653530470981)	(6.0, 0.3559655797393986)	(7.0, 0.5120876998469812)	(8.0, 0.7324301862272401)	(9.0, 1.0296884543670377)	(10.0, 1.4201396872745573)	(11.0, 1.907925817899253)	(12.0, 2.476150387516387)	(13.0, 3.094052875967112)	(14.0, 3.718423004171852)	(15.0, 4.306863819024001)	(16.0, 4.81943203680581)	(17.0, 5.220378044707436)	(18.0, 5.4854427960526095)	(19.0, 5.601526055450469)	(20.0, 5.574506334502058)	(21.0, 5.424040766204252)	(22.0, 5.181766388088523)	(23.0, 4.885245089647125)	(24.0, 4.554919683612563)	(25.0, 4.193614298954125)	(26.0, 3.809535260457401)	(27.0, 3.422387752912749)	(28.0, 3.0467358141541356)	(29.0, 2.6876398904546543)	(30.0, 2.352841981461228)	(31.0, 2.048583159430382)	(32.0, 1.778355934031433)	(33.0, 1.54494454466264)	(34.0, 1.3452855249285478)	(35.0, 1.1719534904242215)	(36.0, 1.0137700142006083)	(37.0, 0.8637849638376289)	(38.0, 0.7224980779875027)	(39.0, 0.593327484776211)	(40.0, 0.4804619841079475)	(41.0, 0.3852052935467081)	(42.0, 0.30677120676186737)	(43.0, 0.24349528861643613)	(44.0, 0.19332658324557606)	(45.0, 0.15358287903171103)	(46.0, 0.12151587668513261)	(47.0, 0.09547720221626246)	(48.0, 0.07466037538708781)	(49.0, 0.0590190558378665)	(50.0, 0.047315613676734744)	(51.0, 0.03743116228423208)	(52.0, 0.028438104573019676)	(53.0, 0.021204269098268915)	(54.0, 0.0162174144760159)	(55.0, 0.01254309788395989)	(56.0, 0.00978084382682914)	(57.0, 0.007671699214814474)	(58.0, 0.006062161606269981)	(59.0, 0.004799781749543894)	(60.0, 0.0038857444833796206)	(61.0, 0.0031736563985916965)	(62.0, 0.0025592516857602596)	(63.0, 0.0020423986961360424)	(64.0, 0.0016145402610166575)	(65.0, 0.0013255712563744885)	(66.0, 0.0010863654789554354)	(67.0, 0.000882441566340073)	(68.0, 0.0007380228883936222)	(69.0, 0.0005975536729251964)	(70.0, 0.00045721610620603814)	(71.0, 0.0003695380391938811)	(72.0, 0.00030266047456598954)	(73.0, 0.00023486136869322547)	(74.0, 0.0001886526577003319)	(75.0, 0.00016166466410049376)	(76.0, 0.00013638810424113318)	(77.0, 0.0001026860244286524)	(78.0, 7.72778158200243e-05)	(79.0, 6.042677591378391e-05)	(80.0, 4.647200849142858e-05)	(81.0, 3.5413513552958325e-05)	(82.0, 2.5934803605698105e-05)	(83.0, 1.829917614818293e-05)	(84.0, 1.4349713670157836e-05)	(85.0, 1.0531899941400245e-05)	(86.0, 5.924193717037638e-06)	(87.0, 4.607706224362608e-06)	(88.0, 3.5545162302225827e-06)	(89.0, 1.974731239012546e-06)	(90.0, 1.5797849912100368e-06)	(91.0, 1.1848387434075276e-06)	(92.0, 1.1848387434075276e-06)	(93.0, 7.898924956050184e-07)	(94.0, 5.265949970700123e-07)	(95.0, 6.582437463375153e-07)	(96.0, 2.6329749853500614e-07)	(97.0, 7.898924956050184e-07)	(98.0, 1.4481362419425338e-06)	(99.0, 1.7114337404775398e-06)	(100.0, 2.5013262360825586e-06)
SRR11647648_2_val_2	(0.0, 0.17095578787008878)	(1.0, 0.13884721214633702)	(2.0, 0.11067071771403386)	(3.0, 0.1265372184272184)	(4.0, 0.15905637292035832)	(5.0, 0.21323842654182454)	(6.0, 0.30417043832176105)	(7.0, 0.45169257452477746)	(8.0, 0.6715282912735696)	(9.0, 0.9762265601863616)	(10.0, 1.3815945322888397)	(11.0, 1.8898226189965381)	(12.0, 2.4774615087470133)	(13.0, 3.110560153588885)	(14.0, 3.7458710547423544)	(15.0, 4.339916420848639)	(16.0, 4.854384646872242)	(17.0, 5.256267436882259)	(18.0, 5.5194833009363435)	(19.0, 5.631720008187467)	(20.0, 5.598858573124078)	(21.0, 5.437404788658618)	(22.0, 5.185736189302058)	(23.0, 4.880942381867928)	(24.0, 4.540079492734563)	(25.0, 4.1702246102477725)	(26.0, 3.7817190555657647)	(27.0, 3.39583001936829)	(28.0, 3.022736696837951)	(29.0, 2.668828193690313)	(30.0, 2.340735357050997)	(31.0, 2.0432439299028027)	(32.0, 1.7811441294843529)	(33.0, 1.5545630772992465)	(34.0, 1.3574852679929086)	(35.0, 1.1822793318808547)	(36.0, 1.0214751040838894)	(37.0, 0.8680608993486334)	(38.0, 0.7244624223084626)	(39.0, 0.5935445126459353)	(40.0, 0.47924346271680135)	(41.0, 0.3832119836636077)	(42.0, 0.3039442252113193)	(43.0, 0.2407403611113444)	(44.0, 0.19076516072699423)	(45.0, 0.15112575447895443)	(46.0, 0.11938498890277964)	(47.0, 0.09398542818574246)	(48.0, 0.07365230420634818)	(49.0, 0.0586120932665574)	(50.0, 0.046985081538824906)	(51.0, 0.036531246006315445)	(52.0, 0.02765669118259695)	(53.0, 0.020899512127934936)	(54.0, 0.016215755858683345)	(55.0, 0.012722941212176387)	(56.0, 0.010091684002587562)	(57.0, 0.008103930056559093)	(58.0, 0.006635847764477427)	(59.0, 0.005533206896303144)	(60.0, 0.004638092540733092)	(61.0, 0.0039001035219096794)	(62.0, 0.003266733131824607)	(63.0, 0.002782987120199275)	(64.0, 0.002377935372706681)	(65.0, 0.0020318385254339323)	(66.0, 0.0017395643437636754)	(67.0, 0.0015094033605393266)	(68.0, 0.0013316174895638576)	(69.0, 0.0011443567239101992)	(70.0, 0.0009859154295693666)	(71.0, 0.0008581359471732301)	(72.0, 0.0007668084901362386)	(73.0, 0.0007015369934642677)	(74.0, 0.000643503263560358)	(75.0, 0.0005856011294158678)	(76.0, 0.0005323048468510529)	(77.0, 0.00048308803282823607)	(78.0, 0.0004361083467155474)	(79.0, 0.00040189344926653035)	(80.0, 0.0003588616359364205)	(81.0, 0.00032135684450192116)	(82.0, 0.0003016174805890267)	(83.0, 0.00027937779724716567)	(84.0, 0.00025503258175459587)	(85.0, 0.00023042417474318752)	(86.0, 0.00020897406595784225)	(87.0, 0.00018844512748843206)	(88.0, 0.00017239044483927793)	(89.0, 0.00016344193319876578)	(90.0, 0.0001537038470017379)	(91.0, 0.00014199182441342054)	(92.0, 0.00012856905695265232)	(93.0, 0.0001158042682889806)	(94.0, 0.00010132873475285802)	(95.0, 8.764277577325122e-05)	(96.0, 7.014053977048484e-05)	(97.0, 5.921809173868326e-05)	(98.0, 4.974319706049393e-05)	(99.0, 4.4874153961979976e-05)	(100.0, 4.855883522572027e-05)
SRR11647649_1_val_1	(0.0, 0.0655926269745003)	(1.0, 0.0744499959729055)	(2.0, 0.0990407908122749)	(3.0, 0.13528531577511135)	(4.0, 0.18251594014858713)	(5.0, 0.24864091831976032)	(6.0, 0.3463143474822076)	(7.0, 0.4887716356117859)	(8.0, 0.6900074014484948)	(9.0, 0.9634209259613401)	(10.0, 1.3217829731250288)	(11.0, 1.771651834537792)	(12.0, 2.2992021594484386)	(13.0, 2.8799363515676113)	(14.0, 3.4804454956509563)	(15.0, 4.060915467857719)	(16.0, 4.584925191992116)	(17.0, 5.018448565306376)	(18.0, 5.333046677432309)	(19.0, 5.510402169357966)	(20.0, 5.546204979051205)	(21.0, 5.451888451062812)	(22.0, 5.263483738277301)	(23.0, 5.015080469516329)	(24.0, 4.7191947649594885)	(25.0, 4.383029483311393)	(26.0, 4.014492339459537)	(27.0, 3.6291427706348722)	(28.0, 3.2429430853692085)	(29.0, 2.8664317333083598)	(30.0, 2.5092000726101675)	(31.0, 2.1782897864839295)	(32.0, 1.8807153134108623)	(33.0, 1.6201519941838063)	(34.0, 1.394529903843212)	(35.0, 1.198456474477913)	(36.0, 1.0244520841059752)	(37.0, 0.8672500030899838)	(38.0, 0.7244773774641244)	(39.0, 0.5956346306303544)	(40.0, 0.4840221511831973)	(41.0, 0.38899429301713684)	(42.0, 0.31001668181212794)	(43.0, 0.24641791035838143)	(44.0, 0.19505310081125035)	(45.0, 0.1536938502136966)	(46.0, 0.12059056147343719)	(47.0, 0.09434417734114663)	(48.0, 0.07314831839522877)	(49.0, 0.05716119288339002)	(50.0, 0.04522773223499278)	(51.0, 0.03533519844447601)	(52.0, 0.026751625475775902)	(53.0, 0.01994570357678663)	(54.0, 0.015173964791103799)	(55.0, 0.011678816853282354)	(56.0, 0.009006675503273925)	(57.0, 0.006995960621085064)	(58.0, 0.00546445622832584)	(59.0, 0.004283087053849572)	(60.0, 0.0034092326319484704)	(61.0, 0.002723258933879478)	(62.0, 0.0021880753644855024)	(63.0, 0.0017478437186936831)	(64.0, 0.0013840861363712152)	(65.0, 0.0010934307452310896)	(66.0, 0.0008882860352894974)	(67.0, 0.0007163205486520681)	(68.0, 0.0005698464165044226)	(69.0, 0.00046167675353719244)	(70.0, 0.0003618693338417433)	(71.0, 0.00028391164656610873)	(72.0, 0.00022146457181071284)	(73.0, 0.00017034698793966523)	(74.0, 0.0001410791364884322)	(75.0, 0.00011599240667308956)	(76.0, 8.942205305146322e-05)	(77.0, 6.865131976349138e-05)	(78.0, 5.570333018137905e-05)	(79.0, 4.113684190150269e-05)	(80.0, 2.7514477861988685e-05)	(81.0, 2.0231233722050506e-05)	(82.0, 1.551061252023872e-05)	(83.0, 1.1329490884348282e-05)	(84.0, 9.306367512143231e-06)	(85.0, 7.2832441399381814e-06)	(86.0, 4.585746310331447e-06)	(87.0, 3.102122504047744e-06)	(88.0, 2.2928731551657235e-06)	(89.0, 2.157998263685387e-06)	(90.0, 2.4277480466460605e-06)	(91.0, 1.4836238062837036e-06)	(92.0, 5.394995659213467e-07)	(93.0, 2.6974978296067337e-07)	(94.0, 2.6974978296067337e-07)	(95.0, 5.394995659213467e-07)	(96.0, 4.046246744410101e-07)	(97.0, 4.046246744410101e-07)	(98.0, 1.0789991318426935e-06)	(99.0, 2.2928731551657235e-06)	(100.0, 3.6416220699690907e-06)
SRR11647649_2_val_2	(0.0, 0.19018459735165838)	(1.0, 0.15239072821904157)	(2.0, 0.11774270808811017)	(3.0, 0.13156454452210323)	(4.0, 0.16055249014211664)	(5.0, 0.20982047073592502)	(6.0, 0.29253888096259456)	(7.0, 0.4260015316000114)	(8.0, 0.6260215246069349)	(9.0, 0.9058862768818016)	(10.0, 1.2781050343948854)	(11.0, 1.7466883703913285)	(12.0, 2.2944011200311776)	(13.0, 2.8933000442991195)	(14.0, 3.5057010161165074)	(15.0, 4.0938001898003655)	(16.0, 4.623114832391958)	(17.0, 5.059614660973252)	(18.0, 5.377745011430916)	(19.0, 5.554166418286514)	(20.0, 5.583860541890192)	(21.0, 5.4835782799346475)	(22.0, 5.285027805832257)	(23.0, 5.020362193214201)	(24.0, 4.713286939102565)	(25.0, 4.365244598752258)	(26.0, 3.9825623273659074)	(27.0, 3.5924940382561767)	(28.0, 3.206189874634021)	(29.0, 2.832052653450157)	(30.0, 2.4818730394123674)	(31.0, 2.1612780765607806)	(32.0, 1.8736949795809132)	(33.0, 1.620138929881126)	(34.0, 1.399260666434211)	(35.0, 1.2065296220120192)	(36.0, 1.033370951579228)	(37.0, 0.8740570366826109)	(38.0, 0.7283301048317576)	(39.0, 0.5975044991276127)	(40.0, 0.4839708167458803)	(41.0, 0.38770182440043977)	(42.0, 0.3078398083967372)	(43.0, 0.2437496399678684)	(44.0, 0.19269019449301106)	(45.0, 0.15174710590250576)	(46.0, 0.11905583782482125)	(47.0, 0.09326874705172714)	(48.0, 0.07268078719922089)	(49.0, 0.05705049878491549)	(50.0, 0.04497604166483538)	(51.0, 0.03467848905500702)	(52.0, 0.026127911304347242)	(53.0, 0.019694114867455488)	(54.0, 0.015192263926156097)	(55.0, 0.011842030460317279)	(56.0, 0.009315940945249996)	(57.0, 0.007453561665688732)	(58.0, 0.0060879876304580915)	(59.0, 0.0050006784593518505)	(60.0, 0.0041379764896173395)	(61.0, 0.003465772704479619)	(62.0, 0.002900749426599116)	(63.0, 0.002429964104156092)	(64.0, 0.0020602924678047824)	(65.0, 0.0017467052226723438)	(66.0, 0.0014774731811721376)	(67.0, 0.001280503720665477)	(68.0, 0.0011305858287534946)	(69.0, 0.0009839035747964467)	(70.0, 0.0008424792325161684)	(71.0, 0.0007392084544544968)	(72.0, 0.0006526551391599889)	(73.0, 0.0005826844683845222)	(74.0, 0.000523768893955083)	(75.0, 0.0004787395990822394)	(76.0, 0.0004382941246455534)	(77.0, 0.0003830186429154159)	(78.0, 0.0003424383502306077)	(79.0, 0.00031992370279418586)	(80.0, 0.00029862241959086456)	(81.0, 0.00027570331741007584)	(82.0, 0.0002565591261767112)	(83.0, 0.00023606675246212364)	(84.0, 0.0002108557400632561)	(85.0, 0.00019535164152919312)	(86.0, 0.00018092608898010847)	(87.0, 0.00016933171964159184)	(88.0, 0.00015490616709250719)	(89.0, 0.00013481824812228648)	(90.0, 0.00012039269557320184)	(91.0, 0.00011176432769337551)	(92.0, 0.00010434932404664976)	(93.0, 9.19460452193994e-05)	(94.0, 7.765531091843702e-05)	(95.0, 7.037512551983354e-05)	(96.0, 5.945484742192834e-05)	(97.0, 4.759084158716713e-05)	(98.0, 3.977138319607452e-05)	(99.0, 3.855801896297394e-05)	(100.0, 4.59730226096997e-05)
SRR11647658_1_val_1	(0.0, 0.0703080855491662)	(1.0, 0.0800897754446423)	(2.0, 0.10774122424728896)	(3.0, 0.14948440827981174)	(4.0, 0.20568135906858304)	(5.0, 0.28429021064031174)	(6.0, 0.39844514298106465)	(7.0, 0.5663168170685052)	(8.0, 0.8000702737525671)	(9.0, 1.110980268953835)	(10.0, 1.5147764723638302)	(11.0, 2.0132714142188664)	(12.0, 2.5891265198790725)	(13.0, 3.2088880665720985)	(14.0, 3.8258566391302895)	(15.0, 4.3958155435974895)	(16.0, 4.883582684640597)	(17.0, 5.256034410636017)	(18.0, 5.489656955380319)	(19.0, 5.576016687001632)	(20.0, 5.523236844883525)	(21.0, 5.354104899137201)	(22.0, 5.103368758481057)	(23.0, 4.8024484049772305)	(24.0, 4.468363507314255)	(25.0, 4.108188753272913)	(26.0, 3.7290515861917966)	(27.0, 3.3484115835378288)	(28.0, 2.9791966482747254)	(29.0, 2.6261625962439146)	(30.0, 2.2996474233023685)	(31.0, 2.004894445723906)	(32.0, 1.7427611506704526)	(33.0, 1.515596276984459)	(34.0, 1.3193105711105249)	(35.0, 1.1443256893112013)	(36.0, 0.9841090141404922)	(37.0, 0.8354961890843489)	(38.0, 0.6975419406161251)	(39.0, 0.5737426503081731)	(40.0, 0.4663850901572595)	(41.0, 0.37568642325322077)	(42.0, 0.30115300830508557)	(43.0, 0.24098375940389624)	(44.0, 0.19279099908119496)	(45.0, 0.15411168478593285)	(46.0, 0.12249631176893384)	(47.0, 0.09695745788328777)	(48.0, 0.07631272872212215)	(49.0, 0.06052653521865786)	(50.0, 0.04850552541545403)	(51.0, 0.03831560798927655)	(52.0, 0.029509616783418693)	(53.0, 0.02248824282032273)	(54.0, 0.017499911742603513)	(55.0, 0.013795159673383642)	(56.0, 0.010916492648342052)	(57.0, 0.008653167566159395)	(58.0, 0.006889345503593912)	(59.0, 0.005539194005472496)	(60.0, 0.004512693667589198)	(61.0, 0.003672372996699282)	(62.0, 0.0029653368700212684)	(63.0, 0.002387956598393369)	(64.0, 0.0019453960856227446)	(65.0, 0.0016038806095111978)	(66.0, 0.001322098939601425)	(67.0, 0.001110239318539991)	(68.0, 0.0009226640018689982)	(69.0, 0.0007433230182959136)	(70.0, 0.0005916158983395376)	(71.0, 0.00047452089038792824)	(72.0, 0.00038157062185899883)	(73.0, 0.0003021581552029014)	(74.0, 0.000238935224807098)	(75.0, 0.00019790312428531834)	(76.0, 0.0001683153511199534)	(77.0, 0.00014068148750324464)	(78.0, 0.00010969806466026813)	(79.0, 8.178507110803706e-05)	(80.0, 5.97338062017745e-05)	(81.0, 4.15903603928243e-05)	(82.0, 3.1960377617304585e-05)	(83.0, 2.5540389100291432e-05)	(84.0, 1.786431587342789e-05)	(85.0, 1.2979542001787451e-05)	(86.0, 8.79259296895279e-06)	(87.0, 4.884773871640438e-06)	(88.0, 2.930864322984263e-06)	(89.0, 2.233039484178486e-06)	(90.0, 1.6747796131338645e-06)	(91.0, 1.2560847098503985e-06)	(92.0, 1.3956496776115537e-06)	(93.0, 9.769547743280876e-07)	(94.0, 1.3956496776115538e-07)	(95.0, 2.7912993552231076e-07)	(96.0, 5.582598710446215e-07)	(97.0, 5.582598710446215e-07)	(98.0, 5.582598710446215e-07)	(99.0, 9.769547743280876e-07)	(100.0, 1.81434458089502e-06)
SRR11647658_2_val_2	(0.0, 0.19524690709946538)	(1.0, 0.15458327915787395)	(2.0, 0.11685340204602797)	(3.0, 0.13206998498735667)	(4.0, 0.16576752411851833)	(5.0, 0.22293437237199207)	(6.0, 0.3190352887578711)	(7.0, 0.47488902292318647)	(8.0, 0.7064933753388233)	(9.0, 1.0259902799547842)	(10.0, 1.4464465764748147)	(11.0, 1.9680963511515208)	(12.0, 2.5679812948287988)	(13.0, 3.2080688086021)	(14.0, 3.8403208500570787)	(15.0, 4.425548618345443)	(16.0, 4.92480437402802)	(17.0, 5.3033164038705065)	(18.0, 5.540294974876972)	(19.0, 5.624186158791533)	(20.0, 5.566310634636248)	(21.0, 5.390413509221986)	(22.0, 5.130377442333789)	(23.0, 4.818634540208069)	(24.0, 4.475832521654133)	(25.0, 4.10694913736656)	(26.0, 3.7211586712049507)	(27.0, 3.3387073519696746)	(28.0, 2.9695225014175715)	(29.0, 2.6192664121034936)	(30.0, 2.295783624049231)	(31.0, 2.0061646628574215)	(32.0, 1.7516975609299208)	(33.0, 1.5284714875125176)	(34.0, 1.3321117639428248)	(35.0, 1.1558877826943224)	(36.0, 0.9932760983889519)	(37.0, 0.8413970874115162)	(38.0, 0.7012399664588159)	(39.0, 0.5754513889184848)	(40.0, 0.4662108121948553)	(41.0, 0.374402407127629)	(42.0, 0.2989811557678937)	(43.0, 0.2383828095158428)	(44.0, 0.19008291972596625)	(45.0, 0.15191179421305107)	(46.0, 0.1211826026879438)	(47.0, 0.09611068160499853)	(48.0, 0.07585189752290332)	(49.0, 0.06049371890434247)	(50.0, 0.04849868175052261)	(51.0, 0.03798502833712438)	(52.0, 0.029150295096621356)	(53.0, 0.022430289808001883)	(54.0, 0.017629150076355713)	(55.0, 0.013999836639044382)	(56.0, 0.011311332312327595)	(57.0, 0.00922813206788686)	(58.0, 0.0075780890429591845)	(59.0, 0.006347950440168159)	(60.0, 0.00533585523000158)	(61.0, 0.004501487007809118)	(62.0, 0.0038399631640310466)	(63.0, 0.003262141198419748)	(64.0, 0.0027823899333938537)	(65.0, 0.0023806209181933373)	(66.0, 0.002059624215423758)	(67.0, 0.0018021014369306494)	(68.0, 0.0015756878564895252)	(69.0, 0.001365177632900088)	(70.0, 0.00120251698299599)	(71.0, 0.001082265284696391)	(72.0, 0.0009646641458720733)	(73.0, 0.000854735679213043)	(74.0, 0.0007548514379340257)	(75.0, 0.0006842628540133794)	(76.0, 0.0006348787458949827)	(77.0, 0.0005635926463229466)	(78.0, 0.000497607665701473)	(79.0, 0.00045812827983281103)	(80.0, 0.0004172538626613696)	(81.0, 0.00037875099870465345)	(82.0, 0.0003327149657129276)	(83.0, 0.0003106734711290104)	(84.0, 0.00029783918314343834)	(85.0, 0.00026854352578506733)	(86.0, 0.0002480365656342077)	(87.0, 0.00023394674947613403)	(88.0, 0.000214555814367498)	(89.0, 0.00019683891682219744)	(90.0, 0.0001816330756219001)	(91.0, 0.00016363717181604366)	(92.0, 0.00015359294643603073)	(93.0, 0.0001371315770632318)	(94.0, 0.00011160250422236565)	(95.0, 9.430411606789898e-05)	(96.0, 8.007479677954736e-05)	(97.0, 6.375293053702639e-05)	(98.0, 5.0081623769786586e-05)	(99.0, 5.077913942117638e-05)	(100.0, 6.01258491497995e-05)
SRR11647659_1_val_1	(0.0, 0.06266635386220502)	(1.0, 0.07109578329469729)	(2.0, 0.09512311243020363)	(3.0, 0.13178112549229462)	(4.0, 0.1811218594222863)	(5.0, 0.2502829786214414)	(6.0, 0.35264644168377135)	(7.0, 0.5039396162222847)	(8.0, 0.7196022096383947)	(9.0, 1.0157989773825182)	(10.0, 1.4046496700001045)	(11.0, 1.8913642260557166)	(12.0, 2.4599950576006964)	(13.0, 3.0774948214744025)	(14.0, 3.704059559290541)	(15.0, 4.294581846369063)	(16.0, 4.811688612691606)	(17.0, 5.223050069826984)	(18.0, 5.498995308897493)	(19.0, 5.627558608703981)	(20.0, 5.609840932159516)	(21.0, 5.463931291421796)	(22.0, 5.229153101069707)	(23.0, 4.938814999091886)	(24.0, 4.610558341185534)	(25.0, 4.247655487750959)	(26.0, 3.85976435633124)	(27.0, 3.468092845198793)	(28.0, 3.083783242993387)	(29.0, 2.7134610318485577)	(30.0, 2.3684205870378934)	(31.0, 2.0547797876780396)	(32.0, 1.7738763300737603)	(33.0, 1.5277912755821668)	(34.0, 1.3140894341148457)	(35.0, 1.1275147970685218)	(36.0, 0.9618312573958805)	(37.0, 0.8121086271288738)	(38.0, 0.6774088536720447)	(39.0, 0.5569616515287389)	(40.0, 0.4528852711234614)	(41.0, 0.36559573045638705)	(42.0, 0.2928107586639825)	(43.0, 0.23344368564639167)	(44.0, 0.18575439608600608)	(45.0, 0.14753527478443368)	(46.0, 0.11662602546858589)	(47.0, 0.09157003007714393)	(48.0, 0.07178766646643546)	(49.0, 0.05673344872629144)	(50.0, 0.04535276151270667)	(51.0, 0.03596751754212125)	(52.0, 0.02738808295346193)	(53.0, 0.020669905681794977)	(54.0, 0.016085104238909118)	(55.0, 0.012570459839834874)	(56.0, 0.009827349824006555)	(57.0, 0.007755030673036294)	(58.0, 0.006190869599664338)	(59.0, 0.004981114787948875)	(60.0, 0.0040214148249041225)	(61.0, 0.003245023660468699)	(62.0, 0.002644309209916251)	(63.0, 0.0021496113544716964)	(64.0, 0.0017341484150043762)	(65.0, 0.0014063850673017005)	(66.0, 0.0011672926676015694)	(67.0, 0.000963724153173193)	(68.0, 0.0007851333705765192)	(69.0, 0.000626802303798893)	(70.0, 0.0004880371269561008)	(71.0, 0.00039367680670300196)	(72.0, 0.00031305423895733954)	(73.0, 0.00024575312818858527)	(74.0, 0.00020218086265994846)	(75.0, 0.00016582438632713686)	(76.0, 0.00013709999472067886)	(77.0, 0.00011128967182791947)	(78.0, 8.658947034990243e-05)	(79.0, 6.53583982929552e-05)	(80.0, 4.55149780044359e-05)	(81.0, 3.3858703149641336e-05)	(82.0, 2.4422671124331453e-05)	(83.0, 1.956588993483372e-05)	(84.0, 1.581923016007833e-05)	(85.0, 8.88097131793871e-06)	(86.0, 6.244432957925656e-06)	(87.0, 5.828137427397279e-06)	(88.0, 4.579250835812147e-06)	(89.0, 3.7466597747553938e-06)	(90.0, 3.0528338905414316e-06)	(91.0, 1.8039472989563007e-06)	(92.0, 1.2488865915851312e-06)	(93.0, 8.325910610567541e-07)	(94.0, 4.1629553052837706e-07)	(95.0, 2.775303536855847e-07)	(96.0, 2.775303536855847e-07)	(97.0, 9.713562378995465e-07)	(98.0, 1.2488865915851312e-06)	(99.0, 1.6651821221135082e-06)	(100.0, 2.081477652641885e-06)
SRR11647659_2_val_2	(0.0, 0.1856579608035699)	(1.0, 0.14815836772499483)	(2.0, 0.11412216585936165)	(3.0, 0.1292359147405999)	(4.0, 0.1602525009951737)	(5.0, 0.21224954958787268)	(6.0, 0.300499459177608)	(7.0, 0.44301799372217837)	(8.0, 0.6578669588980779)	(9.0, 0.9611949328181846)	(10.0, 1.3647389480730374)	(11.0, 1.870001046395133)	(12.0, 2.4568099625204045)	(13.0, 3.0907776637388507)	(14.0, 3.728162991811294)	(15.0, 4.326259617730199)	(16.0, 4.847859176155724)	(17.0, 5.259488644197001)	(18.0, 5.534255775099451)	(19.0, 5.656458955989217)	(20.0, 5.628569739609035)	(21.0, 5.474263970358963)	(22.0, 5.231747676603822)	(23.0, 4.930239182651434)	(24.0, 4.589226061979216)	(25.0, 4.217535427348236)	(26.0, 3.8246230273956074)	(27.0, 3.431691905659775)	(28.0, 3.0522192498101592)	(29.0, 2.6902417536653833)	(30.0, 2.3530048860054333)	(31.0, 2.0482915001282)	(32.0, 1.777418361452393)	(33.0, 1.5383416059715933)	(34.0, 1.3286755237860546)	(35.0, 1.1437000066502547)	(36.0, 0.9765380582136458)	(37.0, 0.8235421203885047)	(38.0, 0.685566599888331)	(39.0, 0.562749483189335)	(40.0, 0.4564399868011151)	(41.0, 0.3668661004391384)	(42.0, 0.2926634914873674)	(43.0, 0.23280412602806616)	(44.0, 0.18481326168136164)	(45.0, 0.14669224408027545)	(46.0, 0.11610487204064739)	(47.0, 0.09149890171501768)	(48.0, 0.07193436090664897)	(49.0, 0.057095336858951136)	(50.0, 0.045452606583812116)	(51.0, 0.03545212339538959)	(52.0, 0.027176401819658587)	(53.0, 0.020855927809846835)	(54.0, 0.01633121950902781)	(55.0, 0.012976969358173919)	(56.0, 0.010494460905268002)	(57.0, 0.008556548323797285)	(58.0, 0.007024413058297894)	(59.0, 0.005867129496513641)	(60.0, 0.0049048298398065215)	(61.0, 0.004117544186091818)	(62.0, 0.0035101263310151226)	(63.0, 0.0029823107245261038)	(64.0, 0.0025535125492071216)	(65.0, 0.0021939156318066945)	(66.0, 0.0018563688146248048)	(67.0, 0.001618948867617658)	(68.0, 0.0014204979656508199)	(69.0, 0.0012404914871372238)	(70.0, 0.0011073588065724687)	(71.0, 0.0009602194585732966)	(72.0, 0.0008528812348679627)	(73.0, 0.0007631553553623413)	(74.0, 0.0006839691464014296)	(75.0, 0.0006240594401472898)	(76.0, 0.0005817620780928624)	(77.0, 0.0005480628683249087)	(78.0, 0.0004860729639369446)	(79.0, 0.00043670292822751457)	(80.0, 0.0004018942794548546)	(81.0, 0.00037235546595454957)	(82.0, 0.000348363847477776)	(83.0, 0.00031951843335541235)	(84.0, 0.00030232212878246483)	(85.0, 0.00028581922358745875)	(86.0, 0.0002672361202586283)	(87.0, 0.0002503171754368573)	(88.0, 0.00022535479783096577)	(89.0, 0.00019637070383301386)	(90.0, 0.0001877725515465401)	(91.0, 0.00017889703950888975)	(92.0, 0.0001532412625250567)	(93.0, 0.00013341004031593173)	(94.0, 0.00012439584840269311)	(95.0, 0.0001160750558673959)	(96.0, 9.166739776385746e-05)	(97.0, 7.322297431061533e-05)	(98.0, 6.032574588090468e-05)	(99.0, 5.18662734700192e-05)	(100.0, 6.157386476119927e-05)
