Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61
SRR11647648_1_val_1 - polya	(1, 0.0596101889267076)	(2, 0.07173929943335294)	(3, 0.08090031483048418)	(4, 0.09037294195526555)	(5, 0.10017828913810516)	(6, 0.1086907510834464)	(7, 0.11766284692342482)	(8, 0.12536949835543545)	(9, 0.1331202134271731)	(10, 0.1440024812420228)	(12, 0.15759307977530151)	(14, 0.17035781488136187)	(16, 0.1805479933129548)	(18, 0.1897130984491026)	(20, 0.19864310955532982)	(22, 0.2069600555902657)	(24, 0.21434572847300762)	(26, 0.22192045283996742)	(28, 0.2295548082403302)	(30, 0.23646897379258036)	(32, 0.24328511753549775)	(34, 0.24966273571418607)	(36, 0.25579892736383136)	(38, 0.261692109359653)	(40, 0.26773331352246166)	(42, 0.27384905647702407)	(44, 0.2797993628920127)	(46, 0.28578608117695536)	(48, 0.2915410036086037)	(50, 0.29739685024501583)	(52, 0.30368515380066474)	(54, 0.30964429932901183)	(56, 0.3151824655927816)	(58, 0.32070532831700543)	(60, 0.32628821785582746)	(62, 0.3318369382848013)	(64, 0.3374707516707329)	(66, 0.3430535092824899)	(68, 0.34896318216144284)	(70, 0.3549534624771419)	(72, 0.3605256659236948)	(74, 0.36631159121563006)	(76, 0.3723118979882729)	(78, 0.3781533645745946)	(80, 0.383612770380529)	(82, 0.38932982974450775)	(84, 0.39520797205491354)	(86, 0.4008093313828427)	(88, 0.40610778616941506)	(90, 0.41141178189271954)	(92, 0.4168405806195622)	(94, 0.42252254738423733)	(96, 0.42823037185366253)	(98, 0.43368265359808417)	(100, 0.4396924591194108)	(102, 0.44554513950626173)	(104, 0.4509592943288837)	(106, 0.45664086531236375)	(108, 0.4625769236043269)	(110, 0.4682253808944792)	(112, 0.47307330475390286)	(114, 0.4741622307488326)
SRR11647648_2_val_2 - polya	(1, 0.6938946732149316)	(2, 0.8843081724523892)	(3, 1.0190495056549072)	(4, 1.144655681165044)	(5, 1.2695394240669622)	(6, 1.3856568773503812)	(7, 1.4971017378438294)	(8, 1.6016980005363575)	(9, 1.7061443940829877)	(10, 1.8588791277607264)	(12, 2.052344891575201)	(14, 2.2384728720315463)	(16, 2.413777424144055)	(18, 2.5865108496857876)	(20, 2.7581965104768864)	(22, 2.924756145155434)	(24, 3.088319320405482)	(26, 3.2497665174591788)	(28, 3.409063171425482)	(30, 3.5645487163365965)	(32, 3.7170932111865316)	(34, 3.8667535165403253)	(36, 4.0131615558864855)	(38, 4.15749187588516)	(40, 4.29989078365149)	(42, 4.441809344973969)	(44, 4.582536604899039)	(46, 4.722003961352874)	(48, 4.858636205178765)	(50, 4.994704460801565)	(52, 5.131127072521091)	(54, 5.264346495101183)	(56, 5.395757857254752)	(58, 5.526266574429243)	(60, 5.655624359888231)	(62, 5.7848616959368275)	(64, 5.913706021258638)	(66, 6.041875275788582)	(68, 6.17068925788543)	(70, 6.2984906997580135)	(72, 6.425052291073248)	(74, 6.55181546694388)	(76, 6.678923500162557)	(78, 6.805237332449626)	(80, 6.929511968092204)	(82, 7.05429716147653)	(84, 7.179513492509441)	(86, 7.303955675524634)	(88, 7.426815789175738)	(90, 7.550071552094929)	(92, 7.673332724023786)	(94, 7.797178860559079)	(96, 7.921144654942374)	(98, 8.044347251254349)	(100, 8.168961467162369)	(102, 8.291388464258908)	(104, 8.412199486735643)	(106, 8.532849690120079)	(108, 8.651767954994527)	(110, 8.767888178746313)	(112, 8.874933271620314)	(114, 8.898867611688905)
SRR11647649_1_val_1 - polya	(1, 0.04164747247381551)	(2, 0.05273857242674338)	(3, 0.06039849010454821)	(4, 0.06823879704518168)	(5, 0.07781619579263437)	(6, 0.08492142324845785)	(7, 0.09240446749614284)	(8, 0.0986253278013671)	(9, 0.1048580878480673)	(10, 0.11384428580310105)	(12, 0.1253132025478904)	(14, 0.13593169345015405)	(16, 0.1445711762103657)	(18, 0.15244366654271824)	(20, 0.16026977492818156)	(22, 0.1676109688484998)	(24, 0.17418503511662392)	(26, 0.1808733659477842)	(28, 0.1876132172505619)	(30, 0.19412737913830141)	(32, 0.20020436075113462)	(34, 0.20598398405140395)	(36, 0.21138240995143792)	(38, 0.21661505081681826)	(40, 0.22204728280059075)	(42, 0.2276442180243372)	(44, 0.23313473169647486)	(46, 0.23848069055454668)	(48, 0.24352104241562245)	(50, 0.24864009483964142)	(52, 0.25409085255730257)	(54, 0.2594250468982334)	(56, 0.2644614772535955)	(58, 0.26932089895450273)	(60, 0.27419154427521125)	(62, 0.2791147918622169)	(64, 0.2841264761642823)	(66, 0.28909069672477894)	(68, 0.2942495051032744)	(70, 0.2994505034742756)	(72, 0.30438254064305315)	(74, 0.30951362803288307)	(76, 0.3148758138111494)	(78, 0.32012887355110775)	(80, 0.3250504984460939)	(82, 0.33010261482431064)	(84, 0.3354389727546007)	(86, 0.3406856769508163)	(88, 0.3454021665296772)	(90, 0.35012203671691194)	(92, 0.3548563759079868)	(94, 0.35997786237003493)	(96, 0.36499089891545)	(98, 0.3698459934376388)	(100, 0.3752287333148181)	(102, 0.3805092435947721)	(104, 0.3854074746798112)	(106, 0.3904689215371398)	(108, 0.3958377333078188)	(110, 0.40096949681932353)	(112, 0.4053629354619793)	(114, 0.4063166726964099)
SRR11647649_2_val_2 - polya	(1, 0.6649745919424492)	(2, 0.8679812065868358)	(3, 1.00680845872136)	(4, 1.1403167968648031)	(5, 1.2719493030337645)	(6, 1.3873578639436135)	(7, 1.4961958744180472)	(8, 1.5996076027794464)	(9, 1.7040978804364388)	(10, 1.8613059059725916)	(12, 2.06054354795314)	(14, 2.250273566943072)	(16, 2.429692324719756)	(18, 2.606849185045664)	(20, 2.7826397386911967)	(22, 2.9537285422103787)	(24, 3.12276274718427)	(26, 3.2883748299134794)	(28, 3.452025618888516)	(30, 3.6124373793683993)	(32, 3.7693296560824345)	(34, 3.9235651802876284)	(36, 4.074337474050315)	(38, 4.222374449965551)	(40, 4.368464601130456)	(42, 4.514874963520532)	(44, 4.660941991324158)	(46, 4.805351304005583)	(48, 4.945191656857584)	(50, 5.084165356946863)	(52, 5.223500241234804)	(54, 5.360386483265399)	(56, 5.495865445642127)	(58, 5.628943364727412)	(60, 5.761192088190758)	(62, 5.893904090225657)	(64, 6.026790802101317)	(66, 6.1585060655632695)	(68, 6.28969963354097)	(70, 6.420634111692899)	(72, 6.549918852958388)	(74, 6.679254168125151)	(76, 6.809730641454591)	(78, 6.939553981246203)	(80, 7.067176004089097)	(82, 7.194284444907837)	(84, 7.322538235843638)	(86, 7.4508681580800165)	(88, 7.576603531001634)	(90, 7.701166103266194)	(92, 7.826341376992431)	(94, 7.951948692468847)	(96, 8.077919355733284)	(98, 8.203147231725819)	(100, 8.329432021120354)	(102, 8.4532591082271)	(104, 8.575302586355802)	(106, 8.697024230567314)	(108, 8.817591735079993)	(110, 8.93414997328562)	(112, 9.040367336148647)	(114, 9.063941400134183)
SRR11647658_1_val_1 - polya	(1, 0.06799806258089534)	(2, 0.08152834926862663)	(3, 0.09163123190343739)	(4, 0.1018580505431003)	(5, 0.1117606212603622)	(6, 0.12042439145959845)	(7, 0.12965412675548463)	(8, 0.1375505008795302)	(9, 0.14550254828792242)	(10, 0.15690032437297746)	(12, 0.1709420219340039)	(14, 0.18413700997203925)	(16, 0.19453924142218137)	(18, 0.2039485860072664)	(20, 0.21300808414976083)	(22, 0.22136243398473865)	(24, 0.22884475554178377)	(26, 0.23635966975021777)	(28, 0.2439999187897438)	(30, 0.25091165912354746)	(32, 0.25775457720634964)	(34, 0.2640600662477952)	(36, 0.27005921234271)	(38, 0.27596491684480184)	(40, 0.28205512652793197)	(42, 0.28809469870117893)	(44, 0.2939780219834328)	(46, 0.29985309219087153)	(48, 0.3054821088627177)	(50, 0.3112066653667468)	(52, 0.3174854368270109)	(54, 0.3234098856007168)	(56, 0.3289132876762231)	(58, 0.3343687100117018)	(60, 0.33980454877982247)	(62, 0.3452666854812526)	(64, 0.3509157053683289)	(66, 0.35642861946226617)	(68, 0.36209358596847696)	(70, 0.3679013726337781)	(72, 0.3734650641202225)	(74, 0.3792739698465155)	(76, 0.38522275819679513)	(78, 0.3909966932670915)	(80, 0.39636035260123503)	(82, 0.4020937217105752)	(84, 0.4080682484636684)	(86, 0.4135915138717807)	(88, 0.4187464683309362)	(90, 0.423919747413834)	(92, 0.4292608856455157)	(94, 0.4347426059143039)	(96, 0.44024656752030605)	(98, 0.4454976213421404)	(100, 0.45129435728014655)	(102, 0.4569986308036975)	(104, 0.46229374765208764)	(106, 0.4678455491154932)	(108, 0.473468830599756)	(110, 0.4788330494643954)	(112, 0.48341000892123814)	(114, 0.4844311520763406)
SRR11647658_2_val_2 - polya	(1, 0.7710114814902402)	(2, 0.9766039680945975)	(3, 1.1153286437198715)	(4, 1.2483617751403773)	(5, 1.3792768038684775)	(6, 1.5022890238718287)	(7, 1.6203040770158812)	(8, 1.7298872853512675)	(9, 1.83846333879395)	(10, 1.9964375420712728)	(12, 2.196526346834876)	(14, 2.3888778240179063)	(16, 2.5697603248602725)	(18, 2.7470026601786346)	(20, 2.9226850244742977)	(22, 3.093412046815234)	(24, 3.2611139675298357)	(26, 3.426470476288053)	(28, 3.5899657068515043)	(30, 3.7494580562469544)	(32, 3.9063273266774066)	(34, 4.059779124721242)	(36, 4.209698886509414)	(38, 4.357569367856183)	(40, 4.502981412086385)	(42, 4.6481156494253515)	(44, 4.792043818780304)	(46, 4.934331584603765)	(48, 5.073521929484291)	(50, 5.211794644351464)	(52, 5.350981212401142)	(54, 5.487454617075975)	(56, 5.6217771865243895)	(58, 5.754997061247917)	(60, 5.887059407257956)	(62, 6.019132384347418)	(64, 6.151859172821393)	(66, 6.283744847077337)	(68, 6.4157344541229016)	(70, 6.547258391913215)	(72, 6.6782071323536965)	(74, 6.809816958075139)	(76, 6.94127347244069)	(78, 7.0716180598281735)	(80, 7.200265451338826)	(82, 7.329864604223084)	(84, 7.460086374666707)	(86, 7.588941072226107)	(88, 7.715667175896304)	(90, 7.842290885485742)	(92, 7.9700349150106895)	(94, 8.098196494168235)	(96, 8.226064179932788)	(98, 8.352640749077942)	(100, 8.481048661536331)	(102, 8.607368126418596)	(104, 8.732180216144783)	(106, 8.856766115667984)	(108, 8.979645447178548)	(110, 9.098837053072952)	(112, 9.208697928416953)	(114, 9.233464007111163)
SRR11647659_1_val_1 - polya	(1, 0.05782812044563014)	(2, 0.06920027768444989)	(3, 0.07795189917918435)	(4, 0.08686094194659469)	(5, 0.09579612888296535)	(6, 0.10378317250033932)	(7, 0.11241325142235405)	(8, 0.11982206389857397)	(9, 0.1273463000994591)	(10, 0.1380074193813956)	(12, 0.15110050263555475)	(14, 0.16340661859106292)	(16, 0.17324781223369104)	(18, 0.18216005348985717)	(20, 0.19086467110635447)	(22, 0.19892555809456847)	(24, 0.20603844082851427)	(26, 0.21330415569909508)	(28, 0.2208498078681711)	(30, 0.22756607799639988)	(32, 0.23425884618551013)	(34, 0.240494647676729)	(36, 0.24638501238232344)	(38, 0.25215661580976834)	(40, 0.2579773090863781)	(42, 0.2639312263729026)	(44, 0.2697056110949178)	(46, 0.2754649768262536)	(48, 0.2810297910024008)	(50, 0.2866738720738)	(52, 0.2928419490422334)	(54, 0.2986138305991354)	(56, 0.304076154070369)	(58, 0.3095607278981646)	(60, 0.3150377922306205)	(62, 0.3204803685104054)	(64, 0.3259995694556005)	(66, 0.3315937262894638)	(68, 0.33745780776136935)	(70, 0.34341005627115173)	(72, 0.34896889066397285)	(74, 0.3547308986251505)	(76, 0.36064643404660557)	(78, 0.36643931437751287)	(80, 0.371839336850373)	(82, 0.3774608894357532)	(84, 0.38329840954451294)	(86, 0.388782288048666)	(88, 0.3939440926415846)	(90, 0.39911312860038584)	(92, 0.40448839755157073)	(94, 0.40992054397671723)	(96, 0.4154193024068211)	(98, 0.42062505145394957)	(100, 0.42647480925881837)	(102, 0.4321354390329105)	(104, 0.437347167863365)	(106, 0.4428072662989424)	(108, 0.4484363283796623)	(110, 0.4537815593494886)	(112, 0.4582768266986479)	(114, 0.459281013103235)
SRR11647659_2_val_2 - polya	(1, 0.723532922740087)	(2, 0.9247501284958092)	(3, 1.0651162247375014)	(4, 1.194879747947961)	(5, 1.3254960160736575)	(6, 1.447861295727264)	(7, 1.5663672510351978)	(8, 1.6767184506631718)	(9, 1.7854893187163323)	(10, 1.9437337155202912)	(12, 2.143837569059544)	(14, 2.33645848862228)	(16, 2.5185890603896928)	(18, 2.6975977680667333)	(20, 2.874869696349384)	(22, 3.0469645229189797)	(24, 3.2155030471863313)	(26, 3.3814430079367024)	(28, 3.545605582391958)	(30, 3.7058477830857237)	(32, 3.863739511738175)	(34, 4.018610615422612)	(36, 4.1705851398768665)	(38, 4.321430736865058)	(40, 4.470406052319488)	(42, 4.619203921180337)	(44, 4.766217589574373)	(46, 4.912191053799138)	(48, 5.05571280686023)	(50, 5.197925543631836)	(52, 5.340776170313129)	(54, 5.480343339689519)	(56, 5.617999203437235)	(58, 5.755043460508954)	(60, 5.890188788712839)	(62, 6.025290450591971)	(64, 6.160332870896756)	(66, 6.294246224670751)	(68, 6.428787594758706)	(70, 6.562977409212982)	(72, 6.695589812451745)	(74, 6.828422633285198)	(76, 6.961250169658969)	(78, 7.093323558010017)	(80, 7.223395109594131)	(82, 7.354081466342998)	(84, 7.485230352378897)	(86, 7.614790562956271)	(88, 7.743030075806965)	(90, 7.8710561242993915)	(92, 7.9993063451341815)	(94, 8.128216845299946)	(96, 8.257385588666558)	(98, 8.384909891618513)	(100, 8.514364969261132)	(102, 8.641691661233871)	(104, 8.766840043299194)	(106, 8.891618513186675)	(108, 9.014065701965373)	(110, 9.133352644788634)	(112, 9.242965827902392)	(114, 9.267472926878654)
