.	Basic Statistics	Per Base Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
SRR11647648_1_val_1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR11647648_2_val_2	1	1	1	0.25	0.5	1	0.5	1	0.5	0.5
SRR11647649_1_val_1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR11647649_2_val_2	1	1	1	0.25	0.5	1	0.5	1	0.5	0.5
SRR11647658_1_val_1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR11647658_2_val_2	1	1	1	0.25	0.5	1	0.5	1	0.5	0.5
SRR11647659_1_val_1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR11647659_2_val_2	1	1	1	0.25	0.5	1	0.5	1	0.5	0.5
