Sample	Unique Reads	Duplicate Reads
SRR11647648_1	331343615.0	47654289.0
SRR11647648_2	331322565.0	47675339.0
SRR11647649_1	298276480.0	71480154.0
SRR11647649_2	298876038.0	70880596.0
SRR11647658_1	311796855.0	45646269.0
SRR11647658_2	311465253.0	45977871.0
SRR11647659_1	303114042.0	56431400.0
SRR11647659_2	303782201.0	55763241.0
