Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61
SRR11647648_1 - polya	(1, 0.05961009219723811)	(2, 0.0717391830219726)	(3, 0.08090018355352172)	(4, 0.0903727953070685)	(5, 0.10017812657876862)	(6, 0.10869083856463756)	(7, 0.11766291984559366)	(8, 0.12536955877201897)	(9, 0.13312026126666918)	(10, 0.14400251142286002)	(12, 0.15759308790267085)	(14, 0.1703578022953921)	(16, 0.1805484918987837)	(18, 0.1897139779432659)	(20, 0.19864463419301653)	(22, 0.20696433719591228)	(24, 0.21435237277723837)	(26, 0.221931438438773)	(28, 0.22957250972026483)	(30, 0.23649800976208035)	(32, 0.24332944595915235)	(34, 0.24973423072017834)	(36, 0.25590115136890046)	(38, 0.2618325825886362)	(40, 0.2679315609091073)	(42, 0.27413251868538036)	(44, 0.28017516424048616)	(46, 0.2862781003664865)	(48, 0.2921704812383342)	(50, 0.29819346969264504)	(52, 0.3047066983251707)	(54, 0.3109084476625496)	(56, 0.31670953515352424)	(58, 0.3225234195490432)	(60, 0.32845603811043766)	(62, 0.33439182291625547)	(64, 0.3404632285248733)	(66, 0.34651550474010007)	(68, 0.3529771499738954)	(70, 0.3595893237446506)	(72, 0.3658117855976322)	(74, 0.3723149877894839)	(76, 0.3791134422738127)	(78, 0.3857828722978901)	(80, 0.39206813133193474)	(82, 0.39867581958975684)	(84, 0.40549656971190007)	(86, 0.4120192970776957)	(88, 0.4182333156122151)	(90, 0.42450366691209984)	(92, 0.4309783729041414)	(94, 0.43772273737957135)	(96, 0.44454111281839703)	(98, 0.4511092230209273)	(100, 0.45835886733558295)	(102, 0.465461149357702)	(104, 0.4721462786770452)	(106, 0.47920977420497823)	(108, 0.4866877838986677)	(110, 0.4941018090696354)	(112, 0.5012814002264244)	(114, 0.5066315617407742)
SRR11647648_2 - polya	(1, 0.6938967134762835)	(2, 0.8843109591445129)	(3, 1.0190523375559355)	(4, 1.1446588369523014)	(5, 1.2695426410590387)	(6, 1.3856599059186354)	(7, 1.4971045855704785)	(8, 1.6017006785346233)	(9, 1.706146902596063)	(10, 1.8588820480653634)	(12, 2.0523480256502946)	(14, 2.238476231784121)	(16, 2.4137814229178427)	(18, 2.5865156235798077)	(20, 2.758203116606154)	(22, 2.924764196057401)	(24, 3.0883318552600754)	(26, 3.249786442090719)	(28, 3.4090981410810124)	(30, 3.5646026950059335)	(32, 3.7171805836688745)	(34, 3.86689077837222)	(36, 4.0133633562258435)	(38, 4.1577794583265035)	(40, 4.3002992438712795)	(42, 4.4423711377570045)	(44, 4.5833083287975125)	(46, 4.723031924735922)	(48, 4.859975030363229)	(50, 4.996436866838187)	(52, 5.1333624261943145)	(54, 5.267145487960271)	(56, 5.399209410931201)	(58, 5.530493646212882)	(60, 5.660745158105149)	(62, 5.790956036527316)	(64, 5.9209026654669845)	(66, 6.050292035388143)	(68, 6.180404760233186)	(70, 6.309668008084815)	(72, 6.437829007096568)	(74, 6.566284334912838)	(76, 6.695212752416699)	(78, 6.823455414149203)	(80, 6.949766139076062)	(82, 7.076702329203382)	(84, 7.204210158375968)	(86, 7.331015740920826)	(88, 7.456336882538538)	(90, 7.582205784441489)	(92, 7.708217431197192)	(94, 7.835023277595752)	(96, 7.962231105109225)	(98, 8.088939853345469)	(100, 8.217429745996697)	(102, 8.344037702118795)	(104, 8.469715046234134)	(106, 8.596133291544536)	(108, 8.72228214222525)	(110, 8.848546428900567)	(112, 8.974452666102344)	(114, 9.069168625270287)
SRR11647649_1 - polya	(1, 0.04164739340417081)	(2, 0.05273847230013458)	(3, 0.060398375435232896)	(4, 0.06823866749068254)	(5, 0.07781604805500258)	(6, 0.08492126202122448)	(7, 0.0924042920620053)	(8, 0.09862514055663975)	(9, 0.10485788877015795)	(10, 0.11384406966448099)	(12, 0.1253129646350037)	(14, 0.13593143537757324)	(16, 0.144570901735329)	(18, 0.1524437827936307)	(20, 0.16027068766533611)	(22, 0.16761362556107648)	(24, 0.1741909247259104)	(26, 0.18088302913315682)	(28, 0.18763192765325748)	(30, 0.19415824734060078)	(32, 0.20025387833879946)	(34, 0.2060536390538432)	(36, 0.21148369713902143)	(38, 0.21676311560105774)	(40, 0.22225037347132492)	(42, 0.2279200486231168)	(44, 0.23351061768914738)	(46, 0.2389774567236027)	(48, 0.24415180607685866)	(50, 0.24943528126124168)	(52, 0.255073313978729)	(54, 0.2606308883696729)	(56, 0.2659243701358446)	(58, 0.2710586931619461)	(60, 0.27624926940458894)	(62, 0.2815350433983018)	(64, 0.2869522551960488)	(66, 0.2923549980174257)	(68, 0.2980311639249723)	(70, 0.30379847086124223)	(72, 0.3092868105241352)	(74, 0.31503748489878347)	(76, 0.32109755196440914)	(78, 0.3270804060813687)	(80, 0.33275440840366366)	(82, 0.33858594677709014)	(84, 0.3447817788172531)	(86, 0.35086780890589786)	(88, 0.3563988793775097)	(90, 0.3619684887114155)	(92, 0.3675786652687887)	(94, 0.3736675350630761)	(96, 0.37965093007634854)	(98, 0.38547489590139444)	(100, 0.3919532110409681)	(102, 0.3983398442555056)	(104, 0.4043662405256534)	(106, 0.41064726373509775)	(108, 0.41738426253631467)	(110, 0.4240998959331721)	(112, 0.43063703354677335)	(114, 0.43535608342864784)
SRR11647649_2 - polya	(1, 0.6649763043872797)	(2, 0.8679838858550405)	(3, 1.006811144867789)	(4, 1.1403194999876594)	(5, 1.271951756246245)	(6, 1.3873606389439384)	(7, 1.496198713232553)	(8, 1.599610245262023)	(9, 1.7041003245394104)	(10, 1.8613088629533554)	(12, 2.0605469380165333)	(14, 2.2502776785879113)	(16, 2.4296981240909936)	(18, 2.6068570821098507)	(20, 2.782649330370094)	(22, 2.9537438941528227)	(24, 3.1227883256855913)	(26, 3.28841794357096)	(28, 3.4520965484557067)	(30, 3.6125508704192715)	(32, 3.7695091090644235)	(34, 3.923830072511965)	(36, 4.074718778406015)	(38, 4.222917877384182)	(40, 4.369215861046593)	(42, 4.515898827659709)	(44, 4.66230877685889)	(46, 4.807132953292733)	(48, 4.947492842008076)	(50, 5.087071000327205)	(52, 5.227142726531852)	(54, 5.364921187593891)	(56, 5.501414749464644)	(58, 5.635622889189326)	(60, 5.769116640108748)	(62, 5.903195911286882)	(64, 6.037611214299403)	(66, 6.171019774049544)	(68, 6.304018469618587)	(70, 6.4369532041986295)	(72, 6.568364233865241)	(74, 6.699986753990194)	(76, 6.832933929185433)	(78, 6.965396731732472)	(80, 7.095833607139554)	(82, 7.2259090285855425)	(84, 7.357324385422656)	(86, 7.488881997990061)	(88, 7.617955814688642)	(90, 7.746041819495793)	(92, 7.875020438443303)	(94, 8.004601886331537)	(96, 8.134895829887936)	(98, 8.264840489650283)	(100, 8.396356588425672)	(102, 8.52593168078223)	(104, 8.654571833861946)	(106, 8.783820630517749)	(108, 8.913634663820527)	(110, 9.042735525334752)	(112, 9.171361209438096)	(114, 9.2681279654877)
SRR11647658_1 - polya	(1, 0.06799823067795256)	(2, 0.0815284951459858)	(3, 0.09163136118964761)	(4, 0.1018581630346315)	(5, 0.11176071748970054)	(6, 0.12042447346112609)	(7, 0.12965419359976274)	(8, 0.13755055475623026)	(9, 0.1455025891056167)	(10, 0.15690034647302378)	(12, 0.17094202097450334)	(14, 0.18413698734347456)	(16, 0.19453934159326564)	(18, 0.2039490903733261)	(20, 0.21300983257968614)	(22, 0.22136598716611486)	(24, 0.2288520732601923)	(26, 0.2363732698352312)	(28, 0.24402455703693995)	(30, 0.25094943496521144)	(32, 0.25781500275831293)	(34, 0.2641484579236164)	(36, 0.27018396358912755)	(38, 0.27614337323215654)	(40, 0.28230029681589286)	(42, 0.2884307826271124)	(44, 0.2944225051032175)	(46, 0.30042891523072074)	(48, 0.30621794811753045)	(50, 0.31213441386551893)	(52, 0.31866314485322145)	(54, 0.324839931736944)	(56, 0.3306331610955817)	(58, 0.3364266702190081)	(60, 0.34225738805930983)	(62, 0.3481365052080285)	(64, 0.3542765030220584)	(66, 0.36032417845587095)	(68, 0.3665888114831942)	(70, 0.37308425046106075)	(72, 0.3793537793721834)	(74, 0.3859741333281319)	(76, 0.39280039416844403)	(78, 0.39946830813844386)	(80, 0.4057284649291505)	(82, 0.41241358443364545)	(84, 0.4194432342752242)	(86, 0.4260216235128921)	(88, 0.4322318422888448)	(90, 0.43850053190560184)	(92, 0.4449787653489734)	(94, 0.45171060557315407)	(96, 0.4585537921831726)	(98, 0.46513274095041757)	(100, 0.4723973932143677)	(102, 0.4796025954607537)	(104, 0.4864067548827712)	(106, 0.4935892961812856)	(108, 0.5010625130950903)	(110, 0.5085162863560917)	(112, 0.5157873732101782)	(114, 0.5212675457704427)
SRR11647658_2 - polya	(1, 0.7710113343794522)	(2, 0.9766043226502239)	(3, 1.1153290502239455)	(4, 1.2483619631748741)	(5, 1.3792773364413635)	(6, 1.502289913961249)	(7, 1.6203047732987024)	(8, 1.7298878016744281)	(9, 1.8384642363409962)	(10, 1.996438599837215)	(12, 2.1965276355406966)	(14, 2.388879356369994)	(16, 2.5697622595755965)	(18, 2.7470052829999325)	(20, 2.9226897367873272)	(22, 3.0934194162873307)	(24, 3.261125258070428)	(26, 3.426492965633324)	(28, 3.5900068118249773)	(30, 3.7495307924849044)	(32, 3.9064385527248247)	(34, 4.0599447927833126)	(36, 4.209940824040023)	(38, 4.357909959403779)	(40, 4.503450316755848)	(42, 4.648751055566535)	(44, 4.792896086035775)	(46, 4.935445338151196)	(48, 5.074990336084909)	(50, 5.2136805127072465)	(52, 5.353360357269035)	(54, 5.490397403755905)	(56, 5.625407554349821)	(58, 5.75940453676205)	(60, 5.892341910037693)	(62, 6.025406156644938)	(64, 6.159245911246009)	(66, 6.29235100351238)	(68, 6.425686901729295)	(70, 6.558682186316165)	(72, 6.6912199155913825)	(74, 6.824535390978734)	(76, 6.957881360728035)	(78, 7.090193319818903)	(80, 7.220940554447482)	(82, 7.352772017514036)	(84, 7.4853739528082235)	(86, 7.616700860078652)	(88, 7.746017377578649)	(90, 7.875403696393388)	(92, 8.006081409472014)	(94, 8.137421885334685)	(96, 8.268754108136097)	(98, 8.399091347467074)	(100, 8.531612430737372)	(102, 8.662470312339817)	(104, 8.792518554644236)	(106, 8.923246625384799)	(108, 9.05380879560576)	(110, 9.183649032789898)	(112, 9.313403382183958)	(114, 9.411402469725505)
SRR11647659_1 - polya	(1, 0.057828017188436505)	(2, 0.0692001541212696)	(3, 0.07795175998921439)	(4, 0.08686078684874553)	(5, 0.09579595783055428)	(6, 0.1037829871863596)	(7, 0.1124130506986096)	(8, 0.11982184994574344)	(9, 0.12734607271144324)	(10, 0.13800717295701387)	(12, 0.15110023283232166)	(14, 0.16340646587865798)	(16, 0.17324792007792994)	(18, 0.1821602844849859)	(20, 0.19086544281654388)	(22, 0.19892714979821663)	(24, 0.2060418276697275)	(26, 0.21331142337218115)	(28, 0.22086498874320315)	(30, 0.2275947361335205)	(32, 0.23430251133596625)	(34, 0.2405638895569701)	(36, 0.2464881754779692)	(38, 0.25230204420168956)	(40, 0.2581825248114257)	(42, 0.2642184795100253)	(44, 0.2700836630269394)	(46, 0.27595579976786355)	(48, 0.2816703764527211)	(50, 0.28749022494909005)	(52, 0.2938677220110608)	(54, 0.2998792013611453)	(56, 0.30560851888090407)	(58, 0.3113966606757874)	(60, 0.3172290249753743)	(62, 0.32308850684860024)	(64, 0.3290515917595751)	(66, 0.3351292658022348)	(68, 0.3415639183655678)	(70, 0.3481459792779128)	(72, 0.3543449175473069)	(74, 0.36083783812784365)	(76, 0.36756591674439865)	(78, 0.37420555035154635)	(80, 0.38042409671264865)	(82, 0.38695080996187403)	(84, 0.3937955636773167)	(86, 0.40026831990822453)	(88, 0.4064176121581872)	(90, 0.4126125175576555)	(92, 0.4190621890848501)	(94, 0.4256741488604381)	(96, 0.4323822021918442)	(98, 0.43880503427436024)	(100, 0.44601107750936253)	(102, 0.4530640107516646)	(104, 0.4596634547240346)	(106, 0.4666183475077957)	(108, 0.47396456773883955)	(110, 0.4812679561099818)	(112, 0.4883153267730759)	(114, 0.4935796126710459)
SRR11647659_2 - polya	(1, 0.7235330214532382)	(2, 0.9247501460469078)	(3, 1.0651162697815537)	(4, 1.1948798394167934)	(5, 1.3254958743156589)	(6, 1.4478609354752994)	(7, 1.5663666791804303)	(8, 1.676717959895595)	(9, 1.7854891899867278)	(10, 1.9437335823603628)	(12, 2.1438381911124322)	(14, 2.3364589057980605)	(16, 2.5185895695487637)	(18, 2.6975987919768984)	(20, 2.8748720724986967)	(22, 3.046970624647774)	(24, 3.2155158011987814)	(26, 3.381464365775495)	(28, 3.545644169228545)	(30, 3.705915843594535)	(32, 3.863850678435245)	(34, 4.018782972083957)	(36, 4.170848451473347)	(38, 4.321814348017796)	(40, 4.470943202778802)	(42, 4.619937582187456)	(44, 4.767212846491876)	(46, 4.913499779535517)	(48, 5.057407319322936)	(50, 5.200087476008109)	(52, 5.343522196562848)	(54, 5.483777903100215)	(56, 5.622233976199315)	(58, 5.7601859405576885)	(60, 5.896381242402177)	(62, 6.032650248421172)	(64, 6.168983085036578)	(66, 6.304315213652465)	(68, 6.440409554684328)	(70, 6.576314211765199)	(72, 6.7108001330190685)	(74, 6.845684752137673)	(76, 6.9807717100749676)	(78, 7.115225090240471)	(80, 7.247822098659785)	(82, 7.3811692208852975)	(84, 7.515132815951537)	(86, 7.647699786443128)	(88, 7.7790963902693555)	(90, 7.910435143271821)	(92, 8.042239484153995)	(94, 8.174917706229746)	(96, 8.308170681802164)	(98, 8.440102405748199)	(100, 8.574510868086598)	(102, 8.707214956155667)	(104, 8.838523114972489)	(106, 8.970576798467661)	(108, 9.101951151977058)	(110, 9.233350258963927)	(112, 9.364785661780132)	(114, 9.463528674075084)
