Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66
SRR11647648_1	(1, 0.07036213055151883)	(2, 0.0016965793035098155)	(3, 0.001183119999523797)	(4, 0.0)	(5, 9.657045491206728e-05)	(6, 0.0015467104008047494)	(7, 2.6385370194553896e-07)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 1.1741489736576484e-05)	(16, 1.4511953607004644e-06)	(18, 0.0)	(20, 7.91561105836617e-07)	(22, 6.477608382762982e-05)	(24, 0.00014986890270506616)	(26, 3.957805529183085e-05)	(28, 0.00014802192679144738)	(30, 2.044866190077927e-05)	(32, 2.2031784112452505e-05)	(34, 9.894513822957713e-06)	(36, 6.332488846692936e-06)	(38, 3.166244423346468e-06)	(40, 1.3192685097276948e-07)	(42, 5.540927740856319e-06)	(44, 0.0)	(46, 0.0)	(48, 1.3588465650195256e-05)	(50, 2.796849240622713e-05)	(52, 0.007239090166577808)	(54, 2.3482979473152968e-05)	(56, 6.0026717192610114e-05)	(58, 0.00025620194458911836)	(60, 9.116145402218372e-05)	(62, 0.0009130657355825376)	(64, 0.0003048829525980703)	(66, 0.0002478905529778339)	(68, 7.7836842073934e-06)	(70, 3.11347368295736e-05)	(72, 0.0)	(74, 0.0)	(76, 0.0058071561261193675)	(78, 0.010633831895809112)	(80, 9.881321137860435e-05)	(82, 2.6385370194553896e-07)	(84, 4.089732380155855e-06)	(86, 0.000553433139830768)	(88, 0.0034731062787091297)	(90, 0.02184537147202798)	(92, 0.015575415952696138)	(94, 0.002506874022184566)	(96, 0.0008936724884895406)	(98, 0.0001435364138583732)	(100, 0.00042836648510858255)	(102, 3.825878678210316e-06)	(104, 7.625371986226077e-05)	(106, 9.366806419066635e-06)	(108, 2.321912577120743e-05)	(110, 7.282362173696876e-05)	(112, 0.00021939435316771565)	(114, 0.009139100674287633)	(116, 0.013316168629787462)	(118, 0.00022730996422608185)	(120, 0.0)	(122, 2.6385370194553896e-07)	(124, 1.7150490626460034e-06)
SRR11647648_2	(1, 0.0035934235667962953)	(2, 0.5229150291026411)	(3, 0.008094503868285245)	(4, 0.01126153985273755)	(5, 0.006693176857252488)	(6, 3.11347368295736e-05)	(7, 0.0)	(8, 4.1952738609340696e-05)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 5.40900088988355e-06)	(16, 0.0)	(18, 0.0)	(20, 0.0013406406595852835)	(22, 1.3192685097276948e-07)	(24, 0.0)	(26, 4.089732380155855e-06)	(28, 0.0008829864135607462)	(30, 0.013794799245116668)	(32, 0.004458599855475718)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.006614944234625635)	(42, 0.05229224170062956)	(44, 0.09296568563608733)	(46, 0.033833960200476465)	(48, 0.034025254134386985)	(50, 0.0017563421670004802)	(52, 0.003569149026217306)	(54, 0.0035331329959017396)	(56, 0.000394329357557608)	(58, 0.001101721132473598)	(60, 0.00013232263152568782)	(62, 0.0008225639158152177)	(64, 0.0018427542543876445)	(66, 0.0012870783580903392)	(68, 0.00047005537001597775)	(70, 0.0)	(72, 0.00017401151643308297)	(74, 3.667566457042992e-05)	(76, 3.430098125292007e-06)	(78, 0.002292756743055761)	(80, 0.0005113484743704546)	(82, 0.0005819293396408863)	(84, 7.124049952529553e-06)	(86, 8.65440142381368e-05)	(88, 0.0)	(90, 4.076539695058577e-05)	(92, 5.527735055759042e-05)	(94, 3.5620249762647765e-06)	(96, 7.00531578665406e-05)	(98, 7.031701156848614e-05)	(100, 0.0012556797675588199)	(102, 0.0010186072163607532)	(104, 0.0008146483047568515)	(106, 0.0001613465387396971)	(108, 0.0013203239245354772)	(110, 0.0017050226219720729)	(112, 4.445934877782332e-05)	(114, 5.6992399620236424e-05)	(116, 2.994739517081867e-05)	(118, 2.704500444941775e-05)	(120, 2.9023907214009287e-06)	(122, 0.0001998691792237458)	(124, 3.667566457042992e-05)
SRR11647649_1	(1, 0.1925598987359886)	(2, 0.0017725172173651926)	(3, 0.0008932902607502642)	(4, 2.244719698524733e-05)	(5, 0.0003596960480768548)	(6, 0.0011691473803280023)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 7.707772458789746e-06)	(16, 9.465685475706706e-07)	(18, 0.0)	(20, 4.056722346731445e-07)	(22, 3.326512324319785e-05)	(24, 7.126308922424905e-05)	(26, 9.560342330463772e-05)	(28, 0.000179712799960203)	(30, 3.1642434304505275e-05)	(32, 5.828157771470843e-05)	(34, 1.2846287431316243e-05)	(36, 3.7862741902826823e-06)	(38, 1.2170167040194335e-06)	(40, 0.0)	(42, 3.3806019556095375e-06)	(44, 8.789565084584797e-06)	(46, 3.1101537991607746e-06)	(48, 0.00011561658688184618)	(50, 2.366421368926676e-05)	(52, 0.0010670532012685943)	(54, 2.244719698524733e-05)	(56, 4.097289570198759e-05)	(58, 0.00013495363006793274)	(60, 6.423143715658121e-05)	(62, 0.0006425848197222609)	(64, 6.964040028555647e-05)	(66, 5.4089631289752605e-06)	(68, 0.00010561000509324195)	(70, 9.276371766192572e-05)	(72, 0.00018728534834076837)	(74, 1.3928080057111295e-05)	(76, 0.004881183551665499)	(78, 0.008175106873133208)	(80, 2.4069885923939907e-05)	(82, 0.00017362771644010585)	(84, 0.00013576497453727902)	(86, 0.0005230467345719076)	(88, 0.002765738071923275)	(90, 0.016313973693302283)	(92, 0.011478631104154847)	(94, 0.0018483779252490705)	(96, 0.0006517800570415188)	(98, 0.0001724106997360864)	(100, 0.0003134494133241163)	(102, 1.1899718883745571e-05)	(104, 7.667205235322431e-05)	(106, 2.0959732124779133e-05)	(108, 8.762520268939922e-05)	(110, 5.9904266653401e-05)	(112, 0.0002874863903050351)	(114, 0.008200393775761167)	(116, 0.010908932062595527)	(118, 0.00016767785699823307)	(120, 0.0)	(122, 0.0002524633540449203)	(124, 5.9498594418727854e-06)
SRR11647649_2	(1, 0.003257818492581799)	(2, 0.3883116266143855)	(3, 0.009838633483449549)	(4, 0.010878777093151491)	(5, 0.006887232752124198)	(6, 1.3251959665989388e-05)	(7, 0.0)	(8, 4.5976186596289704e-05)	(9, 7.68072764314487e-05)	(10, 0.0)	(12, 0.0)	(14, 4.327170503180208e-06)	(16, 0.0)	(18, 5.003290894302116e-06)	(20, 0.0011219541770276934)	(22, 1.5145096761130729e-05)	(24, 0.0)	(26, 1.4874648604681964e-06)	(28, 0.001129661949486483)	(30, 0.0068553198696632445)	(32, 0.003561261324117311)	(34, 9.465685475706706e-07)	(36, 1.352240782243815e-05)	(38, 0.00011358822570848047)	(40, 0.0013673858790049457)	(42, 0.02637356332057047)	(44, 0.04767392489839682)	(46, 0.01571804118056743)	(48, 0.008459888781873755)	(50, 0.0011457536147951844)	(52, 0.0017905020197690354)	(54, 0.0014550110816943448)	(56, 0.0001602405326958921)	(58, 0.0007722647107394428)	(60, 0.0001241357038099822)	(62, 0.0006185149337983209)	(64, 0.0019308646129659436)	(66, 0.0017305977531156343)	(68, 0.0005686172489335243)	(70, 3.123676206983213e-05)	(72, 0.00012995033917363063)	(74, 2.623347117553001e-05)	(76, 0.00011061329598754406)	(78, 0.0018282295375936378)	(80, 0.0003590199276857329)	(82, 0.0005621264931787538)	(84, 0.0003352204899182417)	(86, 7.38323467105123e-05)	(88, 6.369054084368368e-05)	(90, 0.00019837372275516765)	(92, 4.732842737853352e-05)	(94, 7.464369117985858e-05)	(96, 0.00012183689448016774)	(98, 5.124992564704059e-05)	(100, 0.0013300640334150166)	(102, 0.0007554969250396195)	(104, 0.0005960677368130737)	(106, 0.0002455669260554768)	(108, 0.0010267564259577287)	(110, 0.0013489954043664298)	(112, 0.0002147358362203178)	(114, 0.00011034284783109531)	(116, 8.11344469346289e-05)	(118, 0.00019715670605114825)	(120, 0.0001789014554908567)	(122, 0.00029140788857354215)	(124, 6.477233346947874e-05)
SRR11647658_1	(1, 0.05798964536802784)	(2, 0.0020694201408109894)	(3, 0.0011274520978056357)	(4, 1.7904946466392232e-05)	(5, 0.0002775266702290796)	(6, 0.0014500208989892333)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 1.1470356330032523e-05)	(16, 1.2589415484182038e-06)	(18, 0.0)	(20, 1.3988239426868931e-07)	(22, 3.245271547033592e-05)	(24, 7.46971985394801e-05)	(26, 8.672708444658736e-05)	(28, 0.0001896805266283427)	(30, 3.0214597162036887e-05)	(32, 4.797966123416043e-05)	(34, 1.552694576382451e-05)	(36, 5.595295770747572e-06)	(38, 3.2172950681798543e-06)	(40, 0.0)	(42, 5.175648587941504e-06)	(44, 6.714354924897087e-06)	(46, 4.476236616598058e-06)	(48, 3.441106899009757e-05)	(50, 2.9375302796424757e-05)	(52, 0.001203408237893534)	(54, 2.7137184488125726e-05)	(56, 5.455413376478883e-05)	(58, 0.00017876969987538492)	(60, 8.560802529243786e-05)	(62, 0.000818032241683295)	(64, 8.420920134975095e-05)	(66, 6.15482534782233e-06)	(68, 6.574472530628397e-05)	(70, 5.721189925589392e-05)	(72, 0.00011903991752265458)	(74, 1.2029885907107279e-05)	(76, 0.005979272943015124)	(78, 0.010321781990692315)	(80, 2.6158007728244903e-05)	(82, 0.00021360041604828855)	(84, 0.0001636624012943665)	(86, 0.0006539501932061225)	(88, 0.0035118873905097135)	(90, 0.020597962320853036)	(92, 0.014435863088528737)	(94, 0.0023819174096072412)	(96, 0.0008327198930815075)	(98, 0.00021877606463623008)	(100, 0.0004287395384335327)	(102, 1.636624012943665e-05)	(104, 0.00010463203091297961)	(106, 2.461930139128932e-05)	(108, 9.94563823250381e-05)	(110, 7.134002107703154e-05)	(112, 0.0003364171582161978)	(114, 0.00989444127620147)	(116, 0.013700920989041042)	(118, 0.000222413006887216)	(120, 0.0)	(122, 0.00029347326317571016)	(124, 4.196471828060679e-06)
SRR11647658_2	(1, 0.0035840667059523572)	(2, 0.49968621021788073)	(3, 0.010145670056308035)	(4, 0.011979528245170552)	(5, 0.007363409234303805)	(6, 2.1541888717378154e-05)	(7, 0.0)	(8, 5.371483939917669e-05)	(9, 5.0077897148190774e-05)	(10, 0.0)	(12, 0.0)	(14, 5.175648587941504e-06)	(16, 0.0)	(18, 3.776824645254611e-06)	(20, 0.0013498651046928518)	(22, 1.0910826752957765e-05)	(24, 0.0)	(26, 2.9375302796424754e-06)	(28, 0.001173753170308572)	(30, 0.007709478277724543)	(32, 0.004088342737290983)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.001194455764660338)	(42, 0.029856358350314777)	(44, 0.05404356302570811)	(46, 0.01781821938194564)	(48, 0.00962978378624511)	(50, 0.0012989479131790488)	(52, 0.0020162648309888878)	(54, 0.0015977367073369692)	(56, 0.00018086793578941528)	(58, 0.0009760993472069141)	(60, 0.0001309299210354932)	(62, 0.0008001272952169029)	(64, 0.0018242063036579773)	(66, 0.0012670547272857877)	(68, 0.00046482919615485456)	(70, 0.0)	(72, 0.00016646004917974025)	(74, 3.119377392191772e-05)	(76, 5.735178165016261e-06)	(78, 0.0022083233583197978)	(80, 0.0004900080271232186)	(82, 0.00055281522214986)	(84, 7.413766896240533e-06)	(86, 8.211096543572062e-05)	(88, 0.0)	(90, 3.860754081815825e-05)	(92, 6.028931192980509e-05)	(94, 2.238118308299029e-06)	(96, 6.854237319165776e-05)	(98, 7.05007267114194e-05)	(100, 0.0012085838864814755)	(102, 0.0009496615746901317)	(104, 0.0007858592910014965)	(106, 0.0001556891048210512)	(108, 0.0012715309639023857)	(110, 0.0016643207270088652)	(112, 0.00014575745482797427)	(114, 8.89652027548864e-05)	(116, 5.525354573613228e-05)	(118, 2.9375302796424757e-05)	(120, 2.7416949276663104e-05)	(122, 0.00026227948925379246)	(124, 5.5673192918938346e-05)
SRR11647659_1	(1, 0.05632695518915798)	(2, 0.002097648619336412)	(3, 0.001021289542588611)	(4, 1.8078382425996658e-05)	(5, 0.00036073326163873327)	(6, 0.0014078887975445397)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 1.0012642574398147e-05)	(16, 2.085967202999614e-06)	(18, 0.0)	(20, 1.390644801999743e-07)	(22, 3.6156764851993315e-05)	(24, 7.342604554558641e-05)	(26, 9.873578094198173e-05)	(28, 0.00019329962747796425)	(30, 3.5044249010393514e-05)	(32, 5.993679096618891e-05)	(34, 1.4045512500197402e-05)	(36, 5.840708168398919e-06)	(38, 3.89380544559928e-06)	(40, 5.562579207998972e-07)	(42, 6.396966089198817e-06)	(44, 1.0290771534798097e-05)	(46, 4.310998886199203e-06)	(48, 4.769911670859118e-05)	(50, 2.86472829211947e-05)	(52, 0.0011981795614029783)	(54, 2.8230089480594777e-05)	(56, 4.70037943075913e-05)	(58, 0.0001611757325517702)	(60, 7.426043242678626e-05)	(62, 0.0007944753753824531)	(64, 7.745891547138567e-05)	(66, 5.284450247599022e-06)	(68, 9.957016782318158e-05)	(70, 8.482933292198432e-05)	(72, 0.00017647282537376735)	(74, 1.3072061138797583e-05)	(76, 0.0060201013478568864)	(78, 0.010028495925140945)	(80, 2.92035408419946e-05)	(82, 0.00020442478589396216)	(84, 0.00016562579591816937)	(86, 0.0006288495794642836)	(88, 0.0033340709127943832)	(90, 0.01973672635238135)	(92, 0.013907421471358828)	(94, 0.0022468648065909844)	(96, 0.0007948925688230531)	(98, 0.0002112389454237609)	(100, 0.0003936915434461271)	(102, 1.5158028341797196e-05)	(104, 9.122629901118312e-05)	(106, 2.6144122277595166e-05)	(108, 9.414665309538259e-05)	(110, 7.314791658518646e-05)	(112, 0.00033917826720773726)	(114, 0.010046018049646142)	(116, 0.013587155973458288)	(118, 0.0001990012711661632)	(120, 0.0)	(122, 0.00029801518106854487)	(124, 3.4766120049993572e-06)
SRR11647659_2	(1, 0.0036387611889125266)	(2, 0.48597556689371135)	(3, 0.010931858788519978)	(4, 0.012311656561064121)	(5, 0.007755347931792165)	(6, 2.475347747559542e-05)	(7, 0.0)	(8, 4.8116310149191104e-05)	(9, 8.204804331798483e-05)	(10, 0.0)	(12, 0.0)	(14, 5.284450247599022e-06)	(16, 0.0)	(18, 3.615676485199331e-06)	(20, 0.0013697851299697467)	(22, 1.6131479703197018e-05)	(24, 0.0)	(26, 3.615676485199331e-06)	(28, 0.0012792541533595634)	(30, 0.00788996234862574)	(32, 0.004137585479389834)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0011712010522441833)	(42, 0.030086739355744636)	(44, 0.05433040644692695)	(46, 0.0178394696490131)	(48, 0.009685841045928208)	(50, 0.0012892667959339616)	(52, 0.002011011448171828)	(54, 0.0016258028380178994)	(56, 0.00017883692153716692)	(58, 0.000929646050136828)	(60, 0.00011417193824417888)	(62, 0.0007630468028572588)	(64, 0.0017253730058410808)	(66, 0.001215979814868575)	(68, 0.0004504298513677167)	(70, 0.0)	(72, 0.00015519595990317128)	(74, 2.989886324299447e-05)	(76, 4.8672568069991e-06)	(78, 0.00216273079607)	(80, 0.0004806068435711111)	(82, 0.0005433249241412995)	(84, 4.8672568069991e-06)	(86, 8.802781596658372e-05)	(88, 0.0)	(90, 3.782553861439301e-05)	(92, 5.145385767399049e-05)	(94, 2.2250316831995886e-06)	(96, 6.257901608998843e-05)	(98, 6.480404777318802e-05)	(100, 0.0011718963746451833)	(102, 0.0009334007911022273)	(104, 0.0007509481930798611)	(106, 0.00015088496101697208)	(108, 0.001226687779843973)	(110, 0.0015974336840571045)	(112, 0.00013920354468017424)	(114, 9.053097661018326e-05)	(116, 5.826801720378923e-05)	(118, 3.4209862129193675e-05)	(120, 2.92035408419946e-05)	(122, 0.0002490644840381539)	(124, 5.6182050000789606e-05)
