Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66
SRR11647648_1	(1, 32.887965675926274)	(2, 33.06535070178119)	(3, 33.0812751566035)	(4, 33.06850190390499)	(5, 33.080784177634925)	(6, 36.767807784498984)	(7, 36.81734285791723)	(8, 36.94345601974622)	(9, 36.919480731481826)	(10, 37.02204622218702)	(12, 37.03802213111976)	(14, 36.85312273653102)	(16, 36.88111652459165)	(18, 36.85034321324373)	(20, 36.79696149454167)	(22, 36.77986464537281)	(24, 36.669265275145165)	(26, 36.628798263749765)	(28, 36.64766483774538)	(30, 36.544495293567635)	(32, 36.546560543775456)	(34, 36.5800010954678)	(36, 36.564881928740164)	(38, 36.512748154934386)	(40, 36.45765104943694)	(42, 36.412501468609705)	(44, 36.35888722487499)	(46, 36.30142916041034)	(48, 36.2353257051258)	(50, 36.18315910000389)	(52, 36.12041018833708)	(54, 36.053954084664284)	(56, 35.99234897219907)	(58, 35.92245398934976)	(60, 35.87090682300977)	(62, 35.81445641319431)	(64, 35.761853428350356)	(66, 35.67684906378796)	(68, 35.61797802844841)	(70, 35.5533727437184)	(72, 35.46661524808855)	(74, 35.38682872372824)	(76, 35.28143495484872)	(78, 35.20986252604711)	(80, 35.15231904686206)	(82, 35.071943164361144)	(84, 34.98287237889316)	(86, 34.892341097221475)	(88, 34.77577338659899)	(90, 34.66141540323664)	(92, 34.56182022579207)	(94, 34.48347165925224)	(96, 34.39070805916647)	(98, 34.28926715251703)	(100, 34.180141394660595)	(102, 34.066572931495685)	(104, 33.968011612011445)	(106, 33.85372754330588)	(108, 33.71954867987871)	(110, 33.565428827543066)	(112, 33.4635411255467)	(114, 33.339547468842994)	(116, 33.217200590375825)	(118, 33.09705194570152)	(120, 32.96525288567295)	(122, 32.802907466738915)	(124, 32.69700785601178)
SRR11647648_2	(1, 30.361723232643524)	(2, 30.623785125207448)	(3, 30.975532220885317)	(4, 30.82665442128672)	(5, 30.96849840362178)	(6, 34.7777880164741)	(7, 34.741267548012615)	(8, 34.72594250019916)	(9, 34.7514247809666)	(10, 34.80033480871177)	(12, 34.84107540869144)	(14, 34.902072798798386)	(16, 34.94784580259842)	(18, 34.95475926167655)	(20, 35.04668535976917)	(22, 35.09355219547599)	(24, 35.133693739372234)	(26, 35.12456747122275)	(28, 35.147811657818565)	(30, 35.184431742925945)	(32, 35.205311066839045)	(34, 35.22931652809352)	(36, 35.23800115395889)	(38, 35.24417228043562)	(40, 35.24760821236626)	(42, 35.23746683306196)	(44, 35.25087666975594)	(46, 35.26915712837293)	(48, 35.27269948305572)	(50, 35.296339045189015)	(52, 35.30930440712939)	(54, 35.30036109381755)	(56, 35.29981205648039)	(58, 35.305752436298434)	(60, 35.29309360507703)	(62, 35.27194107252899)	(64, 35.26827362744466)	(66, 35.22898831783513)	(68, 35.193492996204014)	(70, 35.16234080809059)	(72, 35.17628881530701)	(74, 35.14459647644911)	(76, 35.11296439913821)	(78, 35.06341342721515)	(80, 35.018410219229075)	(82, 34.98230462773219)	(84, 34.94557979666294)	(86, 34.9124226568282)	(88, 34.86719886187022)	(90, 34.811075436712706)	(92, 34.74908547383417)	(94, 34.70337794928808)	(96, 34.66337898929383)	(98, 34.63017336634136)	(100, 34.55815484800148)	(102, 34.50657739653357)	(104, 34.46172746380149)	(106, 34.40439825493072)	(108, 34.36100708488351)	(110, 34.23764696334574)	(112, 34.14094310004416)	(114, 34.08287287784051)	(116, 34.00851400486901)	(118, 33.885458369184015)	(120, 33.77466684485938)	(122, 33.625233515803295)	(124, 33.50170379306372)
SRR11647649_1	(1, 32.90620771661395)	(2, 33.10397827507268)	(3, 33.135927933073944)	(4, 33.1299155027466)	(5, 33.13345337030518)	(6, 36.84652703215597)	(7, 36.94901572205463)	(8, 37.05658829639822)	(9, 37.05433231253398)	(10, 37.11827979264869)	(12, 37.11573060376789)	(14, 36.9866549169203)	(16, 37.00700833402762)	(18, 36.977181622385714)	(20, 36.93165161304449)	(22, 36.9085128071022)	(24, 36.82677310665912)	(26, 36.761575140528784)	(28, 36.7696313502789)	(30, 36.6239365268562)	(32, 36.65660681019722)	(34, 36.68016684049542)	(36, 36.64410526708765)	(38, 36.58187560334618)	(40, 36.516854001867614)	(42, 36.456927934388325)	(44, 36.38908594267439)	(46, 36.33004061395691)	(48, 36.252953182984676)	(50, 36.20378749310012)	(52, 36.14086720888962)	(54, 36.08803848533519)	(56, 36.02058256242131)	(58, 35.94949074125334)	(60, 35.8865460883117)	(62, 35.82452925780366)	(64, 35.74549148183775)	(66, 35.667085182033546)	(68, 35.60884079229258)	(70, 35.53328246573123)	(72, 35.44625361745369)	(74, 35.3701006348949)	(76, 35.27201641634373)	(78, 35.20348479535326)	(80, 35.148249210317076)	(82, 35.04929533867403)	(84, 34.96176116477737)	(86, 34.869052339977756)	(88, 34.77238382692547)	(90, 34.64229379046111)	(92, 34.515741418719216)	(94, 34.438021785431985)	(96, 34.327945841534245)	(98, 34.223169473951884)	(100, 34.11309240228533)	(102, 33.984675416263116)	(104, 33.87047582356561)	(106, 33.73331304178845)	(108, 33.55129385318885)	(110, 33.38061036384272)	(112, 33.27733699025397)	(114, 33.12626803066365)	(116, 32.978275980032855)	(118, 32.825537877976245)	(120, 32.70052650495515)	(122, 32.51495877150374)	(124, 32.38716906158335)
SRR11647649_2	(1, 30.772508111375764)	(2, 31.09173077608663)	(3, 31.327023760715)	(4, 31.218454144084404)	(5, 31.32084624071951)	(6, 35.22097347413651)	(7, 35.147550997016054)	(8, 35.06814225542739)	(9, 35.067257154336815)	(10, 35.126178140457654)	(12, 35.16001932638753)	(14, 35.17750572664506)	(16, 35.18061687298895)	(18, 35.157113078328166)	(20, 35.218593178777155)	(22, 35.237158193894636)	(24, 35.26665806488275)	(26, 35.23704688284241)	(28, 35.24321194464357)	(30, 35.26004763446651)	(32, 35.26160747395813)	(34, 35.25491460823932)	(36, 35.26206952922446)	(38, 35.27015352211369)	(40, 35.26919137980902)	(42, 35.26365255288428)	(44, 35.27638612563744)	(46, 35.28078357209407)	(48, 35.28869822792686)	(50, 35.3060292787066)	(52, 35.30024893481695)	(54, 35.288282960191594)	(56, 35.292494111140144)	(58, 35.287960170851186)	(60, 35.27450721817205)	(62, 35.246282192465)	(64, 35.221029873395054)	(66, 35.17950949461532)	(68, 35.15289513913089)	(70, 35.11992034874484)	(72, 35.1163324144713)	(74, 35.09394072697016)	(76, 35.044982592523276)	(78, 35.012657328008885)	(80, 34.96856271955353)	(82, 34.920871372384894)	(84, 34.852081664070965)	(86, 34.82408662612393)	(88, 34.779988029910506)	(90, 34.73359057298212)	(92, 34.68374050862871)	(94, 34.62181163056563)	(96, 34.543990508903214)	(98, 34.509693815256874)	(100, 34.440877485378664)	(102, 34.365230754723925)	(104, 34.30619109459981)	(106, 34.2516066608287)	(108, 34.157953847556925)	(110, 34.03594800546567)	(112, 33.90232997550491)	(114, 33.77988350575476)	(116, 33.6731747374139)	(118, 33.62125727134351)	(120, 33.52804270849134)	(122, 33.33785550146478)	(124, 33.20510120719024)
SRR11647658_1	(1, 32.933136811438565)	(2, 33.08606102883098)	(3, 33.1158137259342)	(4, 33.11320273991338)	(5, 33.12261107588127)	(6, 36.7583006912171)	(7, 36.81443513514055)	(8, 36.93356139646989)	(9, 36.897212027500075)	(10, 37.00583604735952)	(12, 37.025371482597045)	(14, 36.836085470481734)	(16, 36.84896810604195)	(18, 36.82102425475668)	(20, 36.76612431352855)	(22, 36.75357771044996)	(24, 36.65682271454185)	(26, 36.604431520691385)	(28, 36.624491596039206)	(30, 36.52091323065988)	(32, 36.51264172870199)	(34, 36.55415327418636)	(36, 36.53407019937527)	(38, 36.47645452399303)	(40, 36.41637445654151)	(42, 36.36802018186256)	(44, 36.310033773373135)	(46, 36.25640767396605)	(48, 36.1925083317591)	(50, 36.14528880964011)	(52, 36.08778628932305)	(54, 36.01947153695982)	(56, 35.95137245387325)	(58, 35.88138244197978)	(60, 35.83130182551784)	(62, 35.769077153936244)	(64, 35.708735839327545)	(66, 35.62177908337663)	(68, 35.56139868982345)	(70, 35.48789703393483)	(72, 35.39869215109031)	(74, 35.31269317688707)	(76, 35.206424758362395)	(78, 35.135193620342235)	(80, 35.07020137978651)	(82, 34.98490385004581)	(84, 34.88823150365035)	(86, 34.78318366812394)	(88, 34.665346961604996)	(90, 34.53016197200649)	(92, 34.40498786738446)	(94, 34.30910346872416)	(96, 34.20699895880499)	(98, 34.08873240907552)	(100, 33.949543189422215)	(102, 33.818770189855435)	(104, 33.7053346744474)	(106, 33.5570168570371)	(108, 33.38620274732156)	(110, 33.19949714573332)	(112, 33.06957396248585)	(114, 32.90412886498832)	(116, 32.72410254281462)	(118, 32.578263125296544)	(120, 32.39730692371634)	(122, 32.18041788237056)	(124, 32.037036816799976)
SRR11647658_2	(1, 30.4946022965041)	(2, 30.745655608135294)	(3, 31.033212895151397)	(4, 30.885511810824482)	(5, 30.92851541606379)	(6, 34.76541759969623)	(7, 34.80577942800209)	(8, 34.80445366463393)	(9, 34.856451928838894)	(10, 34.93782381865038)	(12, 34.97851804249562)	(14, 35.021557969597424)	(16, 35.05623252945831)	(18, 35.05547285755034)	(20, 35.1365519902965)	(22, 35.16607213991337)	(24, 35.194349482017174)	(26, 35.17521434263203)	(28, 35.19817369042466)	(30, 35.235352440294804)	(32, 35.25573719526914)	(34, 35.27147119914943)	(36, 35.27403852787499)	(38, 35.27690693247186)	(40, 35.26697713452169)	(42, 35.25435690714252)	(44, 35.25696748051027)	(46, 35.26168099963226)	(48, 35.26443845091282)	(50, 35.272200955808565)	(52, 35.27423571309208)	(54, 35.255899860308965)	(56, 35.25667769454701)	(58, 35.26225198697625)	(60, 35.24686708478969)	(62, 35.21716665614191)	(64, 35.201849399682395)	(66, 35.16389532086789)	(68, 35.12815957679466)	(70, 35.092471041630674)	(72, 35.10365591058341)	(74, 35.07157636776921)	(76, 35.04043545400526)	(78, 34.99194620260761)	(80, 34.94608002027198)	(82, 34.90983973578969)	(84, 34.86996493042065)	(86, 34.82875536165021)	(88, 34.77873184797926)	(90, 34.72841619832083)	(92, 34.673426921201596)	(94, 34.62491571945863)	(96, 34.56654811885541)	(98, 34.5209550107334)	(100, 34.4522282082002)	(102, 34.398130060266595)	(104, 34.3583498979267)	(106, 34.28681417158832)	(108, 34.22742935180927)	(110, 34.11856823269036)	(112, 34.000006045717086)	(114, 33.9396243610494)	(116, 33.84070108171951)	(118, 33.72333924235734)	(120, 33.614825246995096)	(122, 33.46411280665732)	(124, 33.34870600979864)
SRR11647659_1	(1, 32.92646923890082)	(2, 33.083697840341415)	(3, 33.10810289454316)	(4, 33.1046366789987)	(5, 33.11243807396118)	(6, 36.745169910956626)	(7, 36.79799934440554)	(8, 36.9232649568674)	(9, 36.898074844736875)	(10, 37.001405298026285)	(12, 37.02194432769363)	(14, 36.83787558347075)	(16, 36.853228144941966)	(18, 36.81735919767271)	(20, 36.75341011971443)	(22, 36.73564069962539)	(24, 36.63010896547536)	(26, 36.57583327116687)	(28, 36.60084018392312)	(30, 36.496651947544365)	(32, 36.492726389506004)	(34, 36.53712684807168)	(36, 36.52584149710901)	(38, 36.47292428616019)	(40, 36.41700965298289)	(42, 36.37029338422262)	(44, 36.31195794299626)	(46, 36.26234015782628)	(48, 36.202343409209455)	(50, 36.158871734494134)	(52, 36.10350984646887)	(54, 36.03722350205736)	(56, 35.97296620019452)	(58, 35.90786425127314)	(60, 35.8614614602735)	(62, 35.80242004847888)	(64, 35.744456122183294)	(66, 35.663828003693624)	(68, 35.60899709166665)	(70, 35.54146745239507)	(72, 35.4598687166781)	(74, 35.38130004718569)	(76, 35.28428630726461)	(78, 35.22156462770567)	(80, 35.1667881316098)	(82, 35.08789068448266)	(84, 34.9966016952038)	(86, 34.903127688655275)	(88, 34.79898203242971)	(90, 34.68061079188983)	(92, 34.569933994601996)	(94, 34.4875193926113)	(96, 34.401501440810925)	(98, 34.30052287799549)	(100, 34.182693489686905)	(102, 34.06963418827043)	(104, 33.97330699439099)	(106, 33.84992728262705)	(108, 33.700573578679936)	(110, 33.54086398347388)	(112, 33.42988489755351)	(114, 33.28796654304409)	(116, 33.1382070503344)	(118, 33.01873653011015)	(120, 32.86693008612803)	(122, 32.68554905641106)	(124, 32.567582350272154)
SRR11647659_2	(1, 30.539815748797615)	(2, 30.819943914071366)	(3, 31.145319414172967)	(4, 30.952322694164483)	(5, 31.019150110655552)	(6, 34.81859982249476)	(7, 34.712112768210254)	(8, 34.69609528244277)	(9, 34.72119118951312)	(10, 34.77827691805366)	(12, 34.85043228277109)	(14, 34.89499827535013)	(16, 34.90225950354281)	(18, 34.870949502956016)	(20, 34.9583343515171)	(22, 35.006307073418554)	(24, 35.0579307051819)	(26, 35.02653511457948)	(28, 35.03047347628454)	(30, 35.04457787285759)	(32, 35.060435766836946)	(34, 35.07679178839375)	(36, 35.080357728467604)	(38, 35.08130121560545)	(40, 35.08554476543747)	(42, 35.090825291285434)	(44, 35.112666751592414)	(46, 35.13134313770553)	(48, 35.14678216947053)	(50, 35.16747463593211)	(52, 35.18453842755153)	(54, 35.17733000075134)	(56, 35.18576654908617)	(58, 35.19582713831205)	(60, 35.18261799575254)	(62, 35.15635807031035)	(64, 35.145686951859616)	(66, 35.11048928691467)	(68, 35.07421155543393)	(70, 35.0348738282712)	(72, 35.04875808994402)	(74, 35.018836845663586)	(76, 34.99102932724704)	(78, 34.944037570360855)	(80, 34.898094126027054)	(82, 34.861976995942555)	(84, 34.82484763775701)	(86, 34.78424473671954)	(88, 34.735733722637484)	(90, 34.68719246481228)	(92, 34.62996623803675)	(94, 34.58156064595585)	(96, 34.52640783303269)	(98, 34.48177024171537)	(100, 34.41575563486075)	(102, 34.35966125945215)	(104, 34.31750659350592)	(106, 34.24464151738572)	(108, 34.18615303987083)	(110, 34.076016847405896)	(112, 33.95182027366655)	(114, 33.887320670025346)	(116, 33.78341632822034)	(118, 33.66692061973073)	(120, 33.561129050552665)	(122, 33.41084558930384)	(124, 33.29258435433037)
