Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR11647648_1	(1.0, 80.71083894384013)	(2.0, 11.424428064947417)	(3.0, 1.7330803533901313)	(4.0, 0.522791654842854)	(5.0, 0.30891769537353725)	(6.0, 0.23296869903393375)	(7.0, 0.17499959606673848)	(8.0, 0.14801920065503105)	(9.0, 0.1450379592772367)	('>10', 2.2722512226910943)	('>50', 0.7917784069667394)	('>100', 1.338833999237468)	('>500', 0.16351404179201548)	('>1k', 0.024579127645071863)	('>5k', 0.007961034240541271)	('>10k+', 0.0)
SRR11647648_2	(1.0, 80.90873121094384)	(2.0, 11.02167999277225)	(3.0, 1.7698473581238634)	(4.0, 0.4390280239635662)	(5.0, 0.3043664460844592)	(6.0, 0.21957201115167696)	(7.0, 0.19065360809996593)	(8.0, 0.16272587884998124)	(9.0, 0.1327938675650612)	('>10', 2.3640753124856086)	('>50', 0.858871983284368)	('>100', 1.2179345908795651)	('>500', 0.17459875411007356)	('>1k', 0.03813367000885108)	('>5k', 0.01647903807356122)	('>10k+', 0.1805082536032931)
SRR11647649_1	(1.0, 68.56803708433206)	(2.0, 20.012914645642134)	(3.0, 4.4776654814785015)	(4.0, 1.0860957914387377)	(5.0, 0.40971440618414684)	(6.0, 0.28284115499840196)	(7.0, 0.21390883663579915)	(8.0, 0.16695145442016354)	(9.0, 0.15997514000901758)	('>10', 2.1279249239400397)	('>50', 0.8028433989868791)	('>100', 1.335283552400351)	('>500', 0.2504142975964061)	('>1k', 0.07651094705467268)	('>5k', 0.001995465659368091)	('>10k+', 0.0269234192232591)
SRR11647649_2	(1.0, 69.02328731593522)	(2.0, 19.60368171886784)	(3.0, 4.232982462183126)	(4.0, 1.0242312894105443)	(5.0, 0.4079526153214313)	(6.0, 0.279320789286513)	(7.0, 0.23446169721055857)	(8.0, 0.1855990703794768)	(9.0, 0.15668279581600528)	('>10', 2.2449668143039747)	('>50', 0.7609666459232359)	('>100', 1.297471090304746)	('>500', 0.23572078977197553)	('>1k', 0.08795569418489876)	('>5k', 0.00882800657740061)	('>10k+', 0.21589120452318156)
SRR11647658_1	(1.0, 80.20932904927882)	(2.0, 11.984327743157094)	(3.0, 1.8156375968577843)	(4.0, 0.5346737143583971)	(5.0, 0.2768698273860582)	(6.0, 0.20693169378729145)	(7.0, 0.18496484757335704)	(8.0, 0.1959901938325979)	(9.0, 0.15501394430252127)	('>10', 2.2180039350694725)	('>50', 0.7941523276042586)	('>100', 1.2120094312124456)	('>500', 0.1520207140575594)	('>1k', 0.03021101744191623)	('>5k', 0.002097892276014455)	('>10k+', 0.02776607180454523)
SRR11647658_2	(1.0, 80.23697538568564)	(2.0, 11.838185192796043)	(3.0, 1.6771616860267429)	(4.0, 0.49464254823277776)	(5.0, 0.28027022658503215)	(6.0, 0.23641761851023285)	(7.0, 0.1676106532354012)	(8.0, 0.19058404753191857)	(9.0, 0.14270857030242237)	('>10', 2.3753827630634343)	('>50', 0.8023331907171062)	('>100', 1.1146027662813105)	('>500', 0.14180665170039458)	('>1k', 0.04536416793515728)	('>5k', 0.01995149853895231)	('>10k+', 0.23600303285739158)
SRR11647659_1	(1.0, 74.47348482016709)	(2.0, 16.7053880090754)	(3.0, 3.0537542294184363)	(4.0, 0.711575783746567)	(5.0, 0.311857499235928)	(6.0, 0.2369247183267235)	(7.0, 0.1859667911384774)	(8.0, 0.14799416473897553)	(9.0, 0.11501146553269667)	('>10', 2.0544524174644527)	('>50', 0.7041507899407146)	('>100', 1.0521339937882748)	('>500', 0.17817643975220426)	('>1k', 0.041170211009197065)	('>5k', 0.0019517382046814193)	('>10k+', 0.02600692846003651)
SRR11647659_2	(1.0, 75.0418142125841)	(2.0, 16.055491561514557)	(3.0, 2.8802384272972246)	(4.0, 0.6762720478982938)	(5.0, 0.3252144489597981)	(6.0, 0.250430050104417)	(7.0, 0.18260988887777466)	(8.0, 0.138723003591705)	(9.0, 0.14173676151196035)	('>10', 2.108459564333406)	('>50', 0.7210556305108544)	('>100', 0.999984577879411)	('>500', 0.20304256058582695)	('>1k', 0.04313411698275706)	('>5k', 0.01521964113063682)	('>10k+', 0.21657350623730862)
