Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
SRR11647648_1	(0.0, 0.04943000700851737)	(1.0, 0.05864466669217149)	(2.0, 0.08363836274068132)	(3.0, 0.12038159400903198)	(4.0, 0.16999744001179917)	(5.0, 0.2404040399830446)	(6.0, 0.3450999787542109)	(7.0, 0.5008421566386051)	(8.0, 0.7210132234244151)	(9.0, 1.0184641631895233)	(10.0, 1.4096962651962386)	(11.0, 1.8987655413332551)	(12.0, 2.4687901874352045)	(13.0, 3.08878336475683)	(14.0, 3.7153696717055382)	(15.0, 4.306201162874119)	(16.0, 4.821120392512214)	(17.0, 5.224113108855533)	(18.0, 5.490816466039734)	(19.0, 5.608513880224793)	(20.0, 5.582784346171372)	(21.0, 5.43290499946753)	(22.0, 5.190946190098952)	(23.0, 4.8947217349381935)	(24.0, 4.56439021882709)	(25.0, 4.202592560276548)	(26.0, 3.818008455903734)	(27.0, 3.4303112516151804)	(28.0, 3.0539354538201824)	(29.0, 2.6941251777858612)	(30.0, 2.358498239545493)	(31.0, 2.0534950351879475)	(32.0, 1.7826513856911166)	(33.0, 1.5485625741563864)	(34.0, 1.348363198064185)	(35.0, 1.1746405369355715)	(36.0, 1.0159762420053258)	(37.0, 0.8655988626242043)	(38.0, 0.7240549685524414)	(39.0, 0.5945840143945583)	(40.0, 0.4814711123465675)	(41.0, 0.38600434162624303)	(42.0, 0.3073891712886873)	(43.0, 0.24396637170461533)	(44.0, 0.19364924398969324)	(45.0, 0.1538219295399776)	(46.0, 0.12170871392396566)	(47.0, 0.09562794549035512)	(48.0, 0.07475488951164838)	(49.0, 0.05902003771959163)	(50.0, 0.04722302057077283)	(51.0, 0.037369465153870955)	(52.0, 0.028443917659993677)	(53.0, 0.02123550136990509)	(54.0, 0.016250558298456164)	(55.0, 0.0125742699473384)	(56.0, 0.009809898421091593)	(57.0, 0.007679146858206094)	(58.0, 0.006057243300867626)	(59.0, 0.0047826172963039955)	(60.0, 0.0038633143935920223)	(61.0, 0.0031497665164511653)	(62.0, 0.002536326372905486)	(63.0, 0.0020218069147305354)	(64.0, 0.0015906446207613189)	(65.0, 0.0012977074978168007)	(66.0, 0.0010593745931969248)	(67.0, 0.0008641711073986867)	(68.0, 0.0007256821478796664)	(69.0, 0.000587852659596451)	(70.0, 0.0004481766518529819)	(71.0, 0.0003611264487267405)	(72.0, 0.00029676205611218635)	(73.0, 0.00023384850021640285)	(74.0, 0.00018676225397993594)	(75.0, 0.0001595920390647758)	(76.0, 0.0001337407666212253)	(77.0, 9.773363714628004e-05)	(78.0, 7.557540362323678e-05)	(79.0, 6.133082492985184e-05)	(80.0, 4.642677500066204e-05)	(81.0, 3.547955248630139e-05)	(82.0, 2.6906426420838228e-05)	(83.0, 1.846519460253604e-05)	(84.0, 1.450836718770689e-05)	(85.0, 1.0551539772877737e-05)	(86.0, 5.407664133599841e-06)	(87.0, 3.956827414829152e-06)	(88.0, 3.956827414829152e-06)	(89.0, 2.5059906960584626e-06)	(90.0, 1.4508367187706887e-06)	(91.0, 7.913654829658303e-07)	(92.0, 3.9568274148291513e-07)	(93.0, 2.637884943219434e-07)	(94.0, 5.275769886438868e-07)	(95.0, 6.594712358048586e-07)	(96.0, 3.9568274148291513e-07)	(97.0, 6.594712358048586e-07)	(98.0, 7.913654829658303e-07)	(99.0, 1.4508367187706887e-06)	(100.0, 2.6378849432194344e-06)
SRR11647648_2	(0.0, 0.16188694310429874)	(1.0, 0.13230638148459029)	(2.0, 0.10648216535316048)	(3.0, 0.12190076665606214)	(4.0, 0.1538663492934371)	(5.0, 0.2074042908287906)	(6.0, 0.29766994783102335)	(7.0, 0.4446442151652676)	(8.0, 0.6641259951146918)	(9.0, 0.9689053962451021)	(10.0, 1.3747354474458602)	(11.0, 1.8838352082323255)	(12.0, 2.472759287946168)	(13.0, 3.1074957287619167)	(14.0, 3.744574349063759)	(15.0, 4.340373505944263)	(16.0, 4.8566372935503335)	(17.0, 5.259978581316972)	(18.0, 5.524333108715843)	(19.0, 5.637309522975008)	(20.0, 5.604739808832412)	(21.0, 5.443381332497573)	(22.0, 5.191534291376226)	(23.0, 4.88657825131564)	(24.0, 4.54557323746838)	(25.0, 4.175279907156786)	(26.0, 3.786325596612784)	(27.0, 3.4000252200846264)	(28.0, 3.026609071671637)	(29.0, 2.672400429613824)	(30.0, 2.3439050111656434)	(31.0, 2.0460455060349236)	(32.0, 1.7835943290187468)	(33.0, 1.5566614180781326)	(34.0, 1.3592861320603233)	(35.0, 1.1838616604393997)	(36.0, 1.0228685894138494)	(37.0, 0.8692656166745104)	(38.0, 0.7255067051498567)	(39.0, 0.5944524827680584)	(40.0, 0.4799857104905572)	(41.0, 0.3838276951458885)	(42.0, 0.3044622419766765)	(43.0, 0.24111596247296438)	(44.0, 0.19101931639371)	(45.0, 0.1512868936324799)	(46.0, 0.1195022999884867)	(47.0, 0.09407802603179852)	(48.0, 0.07360952862732238)	(49.0, 0.05838298920596276)	(50.0, 0.0466445413751892)	(51.0, 0.03625158127598709)	(52.0, 0.027515467977815792)	(53.0, 0.020803584091421815)	(54.0, 0.01611276593447365)	(55.0, 0.012625069804179018)	(56.0, 0.009996577067083432)	(57.0, 0.00798249780278637)	(58.0, 0.006491217043771207)	(59.0, 0.005401723940857716)	(60.0, 0.004515365607646547)	(61.0, 0.003795100596839613)	(62.0, 0.0031864872083155246)	(63.0, 0.002706662054703292)	(64.0, 0.002305533499087351)	(65.0, 0.001977565097387561)	(66.0, 0.0017061475173634983)	(67.0, 0.0014618848773515563)	(68.0, 0.0012769412810554126)	(69.0, 0.0011220526669086066)	(70.0, 0.000984432485487955)	(71.0, 0.0008494487060102281)	(72.0, 0.0007666656850024032)	(73.0, 0.0007068193608980203)	(74.0, 0.0006407774922277652)	(75.0, 0.0005826448293862831)	(76.0, 0.0005167347808131741)	(77.0, 0.00046545676302329537)	(78.0, 0.0004292062363080854)	(79.0, 0.0003967784924101158)	(80.0, 0.00035275057996327904)	(81.0, 0.00031715915373380023)	(82.0, 0.00029382699653891965)	(83.0, 0.00026930845846972313)	(84.0, 0.0002500627242863753)	(85.0, 0.0002292351489372729)	(86.0, 0.00020643027213097722)	(87.0, 0.00018982093989055375)	(88.0, 0.00017492526891303112)	(89.0, 0.0001584477567697539)	(90.0, 0.00014711122841517917)	(91.0, 0.00013353375840911873)	(92.0, 0.00011731988646013391)	(93.0, 0.00010861976004848354)	(94.0, 9.846961256822476e-05)	(95.0, 8.515578275645675e-05)	(96.0, 6.841463041888708e-05)	(97.0, 5.5496260898557734e-05)	(98.0, 4.481883302971408e-05)	(99.0, 4.336881196110569e-05)	(100.0, 4.8246155555515746e-05)
SRR11647649_1	(0.0, 0.0521331398564838)	(1.0, 0.0622213361044881)	(2.0, 0.08849366343580228)	(3.0, 0.12484796832882553)	(4.0, 0.17136225473991312)	(5.0, 0.23663155826205404)	(6.0, 0.333289545670485)	(7.0, 0.4749664958136683)	(8.0, 0.675882516416284)	(9.0, 0.9495371587257625)	(10.0, 1.3087167177092383)	(11.0, 1.75989565693303)	(12.0, 2.2893254073202347)	(13.0, 2.8724859591864647)	(14.0, 3.475730164009604)	(15.0, 4.058957499159091)	(16.0, 4.585860435077949)	(17.0, 5.022165898949566)	(18.0, 5.339164379170229)	(19.0, 5.518762337586333)	(20.0, 5.556199640216553)	(21.0, 5.462808355756767)	(22.0, 5.275000514731479)	(23.0, 5.027105969266954)	(24.0, 4.73136228285919)	(25.0, 4.3947188374430946)	(26.0, 4.025580187546656)	(27.0, 3.6395699713536214)	(28.0, 3.2525809880132526)	(29.0, 2.875082395903551)	(30.0, 2.516746009668408)	(31.0, 2.184848097839727)	(32.0, 1.8863829250448088)	(33.0, 1.6249351583663494)	(34.0, 1.398584710816284)	(35.0, 1.2019343034456917)	(36.0, 1.0273494173165296)	(37.0, 0.8696517793885348)	(38.0, 0.7264862650106414)	(39.0, 0.5972765641898815)	(40.0, 0.48532263632769707)	(41.0, 0.3900176187549738)	(42.0, 0.3108352213467709)	(43.0, 0.24705029120553249)	(44.0, 0.19553023270445788)	(45.0, 0.15405186549300587)	(46.0, 0.12085557172729433)	(47.0, 0.09454106548023866)	(48.0, 0.07328289194652682)	(49.0, 0.05722543279927391)	(50.0, 0.04522891099163212)	(51.0, 0.03534484988071005)	(52.0, 0.02679577849077269)	(53.0, 0.019989020774156957)	(54.0, 0.015205499124807778)	(55.0, 0.01170208053044637)	(56.0, 0.009019528527053997)	(57.0, 0.007000212935930079)	(58.0, 0.005462169588523182)	(59.0, 0.004268722575170973)	(60.0, 0.00338675063190978)	(61.0, 0.0027079675039032736)	(62.0, 0.0021701863281992535)	(63.0, 0.001727983657076114)	(64.0, 0.0013679757961158816)	(65.0, 0.001076508673235573)	(66.0, 0.0008710216478283056)	(67.0, 0.0006986558863847095)	(68.0, 0.0005586002559097561)	(69.0, 0.0004484213574183594)	(70.0, 0.0003445963340546874)	(71.0, 0.00027362219698967723)	(72.0, 0.00021508543251510699)	(73.0, 0.00016425443149330923)	(74.0, 0.00014046119697246772)	(75.0, 0.0001169383401166358)	(76.0, 8.611528630554566e-05)	(77.0, 6.610733909483803e-05)	(78.0, 5.5697798991969875e-05)	(79.0, 4.217891574149175e-05)	(80.0, 2.987673198355666e-05)	(81.0, 2.1900590865774562e-05)	(82.0, 1.5411526905545063e-05)	(83.0, 1.0003973605353813e-05)	(84.0, 7.840952285277312e-06)	(85.0, 6.624252792734281e-06)	(86.0, 4.866797970172125e-06)	(87.0, 3.6500984776290938e-06)	(88.0, 3.109343147609969e-06)	(89.0, 2.2982101525812813e-06)	(90.0, 2.0278324875717185e-06)	(91.0, 1.3518883250478125e-06)	(92.0, 4.0556649751434376e-07)	(93.0, 2.703776650095625e-07)	(94.0, 4.0556649751434376e-07)	(95.0, 6.759441625239062e-07)	(96.0, 4.0556649751434376e-07)	(97.0, 4.0556649751434376e-07)	(98.0, 9.463218275334689e-07)	(99.0, 1.4870771575525939e-06)	(100.0, 2.8389654826004064e-06)
SRR11647649_2	(0.0, 0.18052795330596447)	(1.0, 0.14516728833064577)	(2.0, 0.11274536315712179)	(3.0, 0.12592821593570405)	(4.0, 0.15398607467498876)	(5.0, 0.20233896343567842)	(6.0, 0.28427687092237697)	(7.0, 0.4171092069431818)	(8.0, 0.6165418550691781)	(9.0, 0.8961066366753084)	(10.0, 1.2687328179914255)	(11.0, 1.7384380637943668)	(12.0, 2.2877731336537996)	(13.0, 2.8885469582086776)	(14.0, 3.503112000075398)	(15.0, 4.093566594913427)	(16.0, 4.6249842957376535)	(17.0, 5.063312090319244)	(18.0, 5.383106074391383)	(19.0, 5.560739601368106)	(20.0, 5.591116351701635)	(21.0, 5.491080308636203)	(22.0, 5.292549466697085)	(23.0, 5.0279045449324125)	(24.0, 4.720741791966794)	(25.0, 4.372297526664065)	(26.0, 3.98900355234089)	(27.0, 3.59840042198531)	(28.0, 3.2116377025163527)	(29.0, 2.8369813426878427)	(30.0, 2.48622102293393)	(31.0, 2.165156539179184)	(32.0, 1.8771022149257028)	(33.0, 1.6229906596278716)	(34.0, 1.4017280870850957)	(35.0, 1.2087250806429544)	(36.0, 1.0352824192717693)	(37.0, 0.8756740727665264)	(38.0, 0.7296738802947412)	(39.0, 0.5986297550139398)	(40.0, 0.4848638309675775)	(41.0, 0.3883786750946136)	(42.0, 0.30840015264586235)	(43.0, 0.24418506724169556)	(44.0, 0.19295166766296323)	(45.0, 0.15188483248404944)	(46.0, 0.11912474687820233)	(47.0, 0.0932636474795383)	(48.0, 0.07259816763574828)	(49.0, 0.0568497269187658)	(50.0, 0.04467270890592284)	(51.0, 0.034433594705002624)	(52.0, 0.025992148387618635)	(53.0, 0.019565343846823586)	(54.0, 0.015062122300601586)	(55.0, 0.011717265735098037)	(56.0, 0.009156676572565171)	(57.0, 0.007321045012847232)	(58.0, 0.005976104100431535)	(59.0, 0.004863403612771497)	(60.0, 0.003998210081570078)	(61.0, 0.003333913299415585)	(62.0, 0.0027883712196230606)	(63.0, 0.0023341581259473626)	(64.0, 0.001971949528640835)	(65.0, 0.0016660784863797462)	(66.0, 0.0014119515294481614)	(67.0, 0.0012341572310313803)	(68.0, 0.0010862204857681771)	(69.0, 0.0009453090471293452)	(70.0, 0.0008139898540737894)	(71.0, 0.0007121229080204056)	(72.0, 0.0006386273925654445)	(73.0, 0.0005805335108639125)	(74.0, 0.0005221694250614434)	(75.0, 0.00047231676843850084)	(76.0, 0.00042516615282493195)	(77.0, 0.00037369227159636536)	(78.0, 0.00033505308516232324)	(79.0, 0.00031843553295467583)	(80.0, 0.0002992510417881234)	(81.0, 0.0002665563455747031)	(82.0, 0.00024615593595393265)	(83.0, 0.00022318858737425726)	(84.0, 0.00020157225929926868)	(85.0, 0.0001946820547253661)	(86.0, 0.0001798208291738114)	(87.0, 0.00016550001182413147)	(88.0, 0.00014888245961648398)	(89.0, 0.00012942776434899425)	(90.0, 0.00011929511056384333)	(91.0, 0.00010970286498056714)	(92.0, 0.00010213715015432112)	(93.0, 8.76812307541725e-05)	(94.0, 7.214449495027444e-05)	(95.0, 7.092857649605633e-05)	(96.0, 6.079592271090544e-05)	(97.0, 4.5259186907007376e-05)	(98.0, 3.593714542466854e-05)	(99.0, 3.647755362654326e-05)	(100.0, 4.4448574604195305e-05)
SRR11647658_1	(0.0, 0.057514846662019795)	(1.0, 0.06887100968533857)	(2.0, 0.09837812688470973)	(3.0, 0.13998774476370332)	(4.0, 0.19536943897879486)	(5.0, 0.273210344914515)	(6.0, 0.38689251909743744)	(7.0, 0.5545646782289095)	(8.0, 0.7883926714911403)	(9.0, 1.099713783214625)	(10.0, 1.5045479127610235)	(11.0, 2.004841103755054)	(12.0, 2.5826043392524425)	(13.0, 3.2044722566092947)	(14.0, 3.823810429127749)	(15.0, 4.396100381970075)	(16.0, 4.886286899721388)	(17.0, 5.260786745638392)	(18.0, 5.495981136734565)	(19.0, 5.58377013489328)	(20.0, 5.531905471230192)	(21.0, 5.363300704673221)	(22.0, 5.112832052660847)	(23.0, 4.811948620594257)	(24.0, 4.477734646583871)	(25.0, 4.117157766703388)	(26.0, 3.73755605893236)	(27.0, 3.3563057518302166)	(28.0, 2.9864151038056184)	(29.0, 2.632658466352638)	(30.0, 2.3052907454132017)	(31.0, 2.0098112342858183)	(32.0, 1.747040946345073)	(33.0, 1.5191970791815015)	(34.0, 1.3223636325347576)	(35.0, 1.146970367722661)	(36.0, 0.9863487710711436)	(37.0, 0.8373930878474257)	(38.0, 0.6991174307595938)	(39.0, 0.5750154767174165)	(40.0, 0.4674041307779745)	(41.0, 0.3764980506707835)	(42.0, 0.30179702095709565)	(43.0, 0.2414892464944956)	(44.0, 0.19316370844612146)	(45.0, 0.15438407654251055)	(46.0, 0.12270031598163168)	(47.0, 0.09709605387871534)	(48.0, 0.07640892212448733)	(49.0, 0.06054802330905496)	(50.0, 0.04846286305839665)	(51.0, 0.03827843756967942)	(52.0, 0.029508935147569002)	(53.0, 0.022525496908765777)	(54.0, 0.01755103127076049)	(55.0, 0.013832907679641498)	(56.0, 0.010942789571560555)	(57.0, 0.008667137954354321)	(58.0, 0.006886947142147885)	(59.0, 0.005532575734746524)	(60.0, 0.0044980233679984315)	(61.0, 0.0036461048740501507)	(62.0, 0.0029443768696784385)	(63.0, 0.0023759184524263437)	(64.0, 0.0019333179873333845)	(65.0, 0.0015848313020216452)	(66.0, 0.0013048672795521019)	(67.0, 0.0010949641837844774)	(68.0, 0.0009010030952903434)	(69.0, 0.0007267597526344736)	(70.0, 0.0005792262642701539)	(71.0, 0.0004624580531002895)	(72.0, 0.0003700223793478579)	(73.0, 0.0002970247670955594)	(74.0, 0.00024234647899086837)	(75.0, 0.0001978766692279739)	(76.0, 0.0001652934438356644)	(77.0, 0.0001346680088102748)	(78.0, 0.00010516131113741084)	(79.0, 8.180766890343797e-05)	(80.0, 5.985244836012214e-05)	(81.0, 4.1672966381580366e-05)	(82.0, 3.188401454698095e-05)	(83.0, 2.6010643446221302e-05)	(84.0, 1.7759955471344653e-05)	(85.0, 1.0348320510862239e-05)	(86.0, 7.411634960482413e-06)	(87.0, 5.174160255431119e-06)	(88.0, 2.7968433813141185e-06)	(89.0, 2.5171590431827067e-06)	(90.0, 1.8179481978541768e-06)	(91.0, 1.2585795215913533e-06)	(92.0, 1.5382638597227652e-06)	(93.0, 9.788951834599415e-07)	(94.0, 1.3984216906570593e-07)	(95.0, 2.7968433813141185e-07)	(96.0, 5.593686762628237e-07)	(97.0, 6.992108453285296e-07)	(98.0, 5.593686762628237e-07)	(99.0, 6.992108453285296e-07)	(100.0, 1.3984216906570593e-06)
SRR11647658_2	(0.0, 0.1846956714438216)	(1.0, 0.14707353502618747)	(2.0, 0.11232221006117311)	(3.0, 0.12714444074293962)	(4.0, 0.16017819815110967)	(5.0, 0.21671188537100028)	(6.0, 0.3120641366614253)	(7.0, 0.4673706759464619)	(8.0, 0.6986737798615995)	(9.0, 1.01821890849356)	(10.0, 1.4393766754197208)	(11.0, 1.9621008223112524)	(12.0, 2.5634192674168244)	(13.0, 3.205176016868263)	(14.0, 3.839236694083098)	(15.0, 4.426435448141424)	(16.0, 4.927585744640961)	(17.0, 5.307397090542299)	(18.0, 5.545335259949406)	(19.0, 5.630206156545301)	(20.0, 5.572675749080055)	(21.0, 5.396596704591872)	(22.0, 5.136382424664769)	(23.0, 4.82449353859051)	(24.0, 4.481494319215881)	(25.0, 4.112166284554703)	(26.0, 3.7259691929759935)	(27.0, 3.3432034631729715)	(28.0, 2.973709820899518)	(29.0, 2.623099639023201)	(30.0, 2.2991355123320525)	(31.0, 2.009082514010984)	(32.0, 1.7543180521836936)	(33.0, 1.5307890028238516)	(34.0, 1.3340790231841964)	(35.0, 1.1576401140533057)	(36.0, 0.9948556573694386)	(37.0, 0.8427614865027602)	(38.0, 0.7023325201901743)	(39.0, 0.5763522240972357)	(40.0, 0.4669793668204112)	(41.0, 0.3750296881342571)	(42.0, 0.29947670034918666)	(43.0, 0.23871966963313362)	(44.0, 0.19032101963732023)	(45.0, 0.15206524194200247)	(46.0, 0.12124950851224385)	(47.0, 0.09614297523156619)	(48.0, 0.07582145379619311)	(49.0, 0.060295565453831704)	(50.0, 0.04814248227150945)	(51.0, 0.03767664018876261)	(52.0, 0.028973366212355935)	(53.0, 0.022312865627193663)	(54.0, 0.017531487366630984)	(55.0, 0.01389790262473084)	(56.0, 0.011191720511571053)	(57.0, 0.009058946021334972)	(58.0, 0.007419360783182185)	(59.0, 0.006207280765239879)	(60.0, 0.005188479504914799)	(61.0, 0.004379308133545498)	(62.0, 0.0037428717906757567)	(63.0, 0.0031641535438985072)	(64.0, 0.0026880141894502843)	(65.0, 0.002314872987109)	(66.0, 0.002020133363237177)	(67.0, 0.001774866393158917)	(68.0, 0.0015396616577505343)	(69.0, 0.001327935469905199)	(70.0, 0.0011624676108894386)	(71.0, 0.0010530408088545227)	(72.0, 0.0009464090720056839)	(73.0, 0.0008438301796766567)	(74.0, 0.0007497762361651645)	(75.0, 0.0006765455282899462)	(76.0, 0.0006297281864231559)	(77.0, 0.0005548204394362914)	(78.0, 0.0004838257837099347)	(79.0, 0.0004398035070292214)	(80.0, 0.00040542420524047385)	(81.0, 0.00037677478708318424)	(82.0, 0.00032995744521639394)	(83.0, 0.00030955346935803156)	(84.0, 0.0002975346890579004)	(85.0, 0.00026497217964010285)	(86.0, 0.00023939733318749802)	(87.0, 0.00021815483777331255)	(88.0, 0.00020417951184292736)	(89.0, 0.00019509554998817702)	(90.0, 0.0001788841719089302)	(91.0, 0.00015708266345752935)	(92.0, 0.00014604215597252505)	(93.0, 0.00013108855722701292)	(94.0, 0.00010551371077440806)	(95.0, 9.097937180680748e-05)	(96.0, 7.714379913572616e-05)	(97.0, 6.093242105647935e-05)	(98.0, 4.905339401565196e-05)	(99.0, 5.0031666830778925e-05)	(100.0, 5.855661564831387e-05)
SRR11647659_1	(0.0, 0.050564686641545196)	(1.0, 0.060148951066997636)	(2.0, 0.08564748498471497)	(3.0, 0.12236902195565803)	(4.0, 0.17108420151607417)	(5.0, 0.2395737997161316)	(6.0, 0.3413317245675738)	(7.0, 0.4922872607295275)	(8.0, 0.7080150290586716)	(9.0, 1.0047309926777344)	(10.0, 1.3945516960975384)	(11.0, 1.8825233476182164)	(12.0, 2.4528441524696434)	(13.0, 3.0724145655983066)	(14.0, 3.701327471160084)	(15.0, 4.294334663817073)	(16.0, 4.8138827941600555)	(17.0, 5.227232959198845)	(18.0, 5.504920674553702)	(19.0, 5.635028207645399)	(20.0, 5.61843102611957)	(21.0, 5.473219486428851)	(22.0, 5.23860667003798)	(23.0, 4.9484749961171195)	(24.0, 4.6203731628773035)	(25.0, 4.256982489837937)	(26.0, 3.868412911293956)	(27.0, 3.476123881277267)	(28.0, 3.091163364923697)	(29.0, 2.7201904497071117)	(30.0, 2.374330679125459)	(31.0, 2.059897791814784)	(32.0, 1.7783303241780364)	(33.0, 1.5315050330436135)	(34.0, 1.317165889590536)	(35.0, 1.130143227480031)	(36.0, 0.9640455906846104)	(37.0, 0.8139854033614504)	(38.0, 0.6789579005947183)	(39.0, 0.558221221917985)	(40.0, 0.45389834509031557)	(41.0, 0.36640079690718036)	(42.0, 0.2934461329762697)	(43.0, 0.23394130476177685)	(44.0, 0.18613857464685793)	(45.0, 0.14782278843143568)	(46.0, 0.11684677725427893)	(47.0, 0.09174447690652461)	(48.0, 0.07191055371672747)	(49.0, 0.05677762901856507)	(50.0, 0.045313271060968885)	(51.0, 0.03593643838512514)	(52.0, 0.027416304396338253)	(53.0, 0.020702022281323094)	(54.0, 0.016105434811106684)	(55.0, 0.012589244208322727)	(56.0, 0.009847585962824344)	(57.0, 0.007768124381793952)	(58.0, 0.006179158251580916)	(59.0, 0.0049600101200000185)	(60.0, 0.003995007590486616)	(61.0, 0.0032196410572642785)	(62.0, 0.0026233442918006597)	(63.0, 0.0021279828146855105)	(64.0, 0.0017146486380188424)	(65.0, 0.0013870955535160942)	(66.0, 0.0011465748250824126)	(67.0, 0.0009370576356318007)	(68.0, 0.0007621587475569037)	(69.0, 0.0006028311436349389)	(70.0, 0.000463245703549727)	(71.0, 0.00038358190158874455)	(72.0, 0.0003103134484762877)	(73.0, 0.00024733316525058955)	(74.0, 0.000206458544349143)	(75.0, 0.0001630813956374039)	(76.0, 0.00013193882733153987)	(77.0, 0.00010746966651978961)	(78.0, 8.592012148671407e-05)	(79.0, 6.937563207422382e-05)	(80.0, 4.949443891467671e-05)	(81.0, 3.600859460365525e-05)	(82.0, 2.6276542008072752e-05)	(83.0, 2.0020222482341142e-05)	(84.0, 1.5988372121314106e-05)	(85.0, 1.1122345823522857e-05)	(86.0, 7.924671399260035e-06)	(87.0, 6.256319525731607e-06)	(88.0, 4.8660262977912496e-06)	(89.0, 4.031850361027036e-06)	(90.0, 2.780586455880714e-06)	(91.0, 1.1122345823522857e-06)	(92.0, 1.2512639051463214e-06)	(93.0, 1.2512639051463214e-06)	(94.0, 6.951466139701785e-07)	(95.0, 2.780586455880714e-07)	(96.0, 2.780586455880714e-07)	(97.0, 8.341759367642142e-07)	(98.0, 8.341759367642142e-07)	(99.0, 1.390293227940357e-06)	(100.0, 2.0854398419105354e-06)
SRR11647659_2	(0.0, 0.1760210650724576)	(1.0, 0.1412389860483827)	(2.0, 0.10974386107976365)	(3.0, 0.12424928088935637)	(4.0, 0.15449892857205133)	(5.0, 0.2057474566798748)	(6.0, 0.2932019427972874)	(7.0, 0.43497530029163883)	(8.0, 0.649329388497538)	(9.0, 0.9526703556127346)	(10.0, 1.3566369673456182)	(11.0, 1.8627124309727665)	(12.0, 2.451113053969842)	(13.0, 3.0870589803869075)	(14.0, 3.7263263185085718)	(15.0, 4.32650492723194)	(16.0, 4.850186860149331)	(17.0, 5.263418411237412)	(18.0, 5.539485037519621)	(19.0, 5.662619585670806)	(20.0, 5.635189629648145)	(21.0, 5.48110002460179)	(22.0, 5.238349359949514)	(23.0, 4.936725578663941)	(24.0, 4.595674049173997)	(25.0, 4.223444182780128)	(26.0, 3.8299964631585173)	(27.0, 3.4367214486090183)	(28.0, 3.0569316017818133)	(29.0, 2.694505492337387)	(30.0, 2.3566965943622686)	(31.0, 2.0515693871770315)	(32.0, 1.7803664302827937)	(33.0, 1.5408365832303639)	(34.0, 1.3307972040424352)	(35.0, 1.1455077260614392)	(36.0, 0.9780820382021813)	(37.0, 0.8248952791402)	(38.0, 0.6867002373555416)	(39.0, 0.563711856328943)	(40.0, 0.4572448065288798)	(41.0, 0.36747804542347645)	(42.0, 0.29312496885525235)	(43.0, 0.23312058536987826)	(44.0, 0.1850468850156654)	(45.0, 0.14688615012793407)	(46.0, 0.11617062947115352)	(47.0, 0.09148964356250493)	(48.0, 0.0718842137956242)	(49.0, 0.05690944745860492)	(50.0, 0.04512298626215906)	(51.0, 0.0352057135895348)	(52.0, 0.02705620168317696)	(53.0, 0.02071807837304764)	(54.0, 0.016165361480156664)	(55.0, 0.012817689712301347)	(56.0, 0.01034451973355873)	(57.0, 0.008416697629342223)	(58.0, 0.006880136573448143)	(59.0, 0.0057135784194299955)	(60.0, 0.004781137760590574)	(61.0, 0.004011120455973069)	(62.0, 0.003393939498356512)	(63.0, 0.002882354562304247)	(64.0, 0.0024792834326226557)	(65.0, 0.0021274819502532)	(66.0, 0.0018022184154084548)	(67.0, 0.0015681009202297294)	(68.0, 0.0013730261646030645)	(69.0, 0.0012050451250356586)	(70.0, 0.0010805529732967043)	(71.0, 0.0009468906407376933)	(72.0, 0.0008432398090443229)	(73.0, 0.0007554283805855962)	(74.0, 0.0006770650172142009)	(75.0, 0.0006182924946856544)	(76.0, 0.0005728584169862815)	(77.0, 0.0005332599088996722)	(78.0, 0.00047754411331114475)	(79.0, 0.00042446821826172456)	(80.0, 0.000387787494981497)	(81.0, 0.0003672240592031876)	(82.0, 0.00034707744982578984)	(83.0, 0.00031456499055467906)	(84.0, 0.0002934457862418207)	(85.0, 0.00027746744087353976)	(86.0, 0.00025954390563433764)	(87.0, 0.0002449549816024289)	(88.0, 0.0002253641407595801)	(89.0, 0.00019674206123031161)	(90.0, 0.00018507092200478466)	(91.0, 0.00017478920411562995)	(92.0, 0.00015005750432820378)	(93.0, 0.0001296330106835316)	(94.0, 0.00011865658212619077)	(95.0, 0.00011087582264250612)	(96.0, 8.906190766146168e-05)	(97.0, 6.905424041770118e-05)	(98.0, 5.8216753993997574e-05)	(99.0, 5.1964357980322413e-05)	(100.0, 5.849463826127203e-05)
