Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR11647648_1	SRR11647648_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	378997904.0	47.3 Gbp	0.0	125.0	21.0	87.42623921718894	125.0	125	pass	pass	pass	fail	warn	pass	pass	pass	pass	pass
SRR11647648_2	SRR11647648_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	378997904.0	47.3 Gbp	0.0	125.0	21.0	87.42068526693333	125.0	125	pass	pass	pass	fail	warn	pass	pass	pass	warn	warn
SRR11647649_1	SRR11647649_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	369756634.0	46.2 Gbp	0.0	125.0	21.0	80.66832409451312	125.0	125	pass	pass	pass	fail	warn	pass	pass	pass	pass	pass
SRR11647649_2	SRR11647649_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	369756634.0	46.2 Gbp	0.0	125.0	21.0	80.83047322889328	125.0	125	pass	pass	pass	fail	warn	pass	pass	pass	warn	warn
SRR11647658_1	SRR11647658_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	357443124.0	44.6 Gbp	0.0	125.0	21.0	87.22978116668149	125.0	125	pass	pass	pass	fail	warn	pass	pass	pass	pass	pass
SRR11647658_2	SRR11647658_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	357443124.0	44.6 Gbp	0.0	125.0	21.0	87.13701038756821	125.0	125	pass	pass	pass	fail	warn	pass	pass	pass	warn	warn
SRR11647659_1	SRR11647659_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	359545442.0	44.9 Gbp	0.0	125.0	21.0	84.30479328318022	125.0	125	pass	pass	pass	fail	warn	pass	pass	pass	pass	pass
SRR11647659_2	SRR11647659_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	359545442.0	44.9 Gbp	0.0	125.0	21.0	84.49062766811973	125.0	125	pass	pass	pass	fail	warn	pass	pass	pass	warn	warn
